workload,window_type,n,median_s,p90_s,total_s
BCB,gen_window,1,241.27,241.27,241.3
SWE astropy,gen_window,6,10.39,13.05,56.5
SWE astropy,idle_window,5,1.06,1.06,5.3
OC calendar,gen_window,1,221.1,221.1,221.1
OC image-crop,gen_window,2,16.23,28.8,32.5
OC image-crop,idle_window,1,8.97,8.97,9.0
OC pdf-digest,gen_window,1,246.61,246.61,246.6
OC web-digest,gen_window,1,71.33,71.33,71.3
BCB exact,tool_burst,36,0.025,0.041,1.0
BCB exact,model_gap,35,6.232,10.366,241.5
SWE sympy,step_exec,67,0.152,0.159,10.6
