# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'task-clock'
# Event count (approx.): 720934583250
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    13.85%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000ccb
    10.08%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618ce
     5.97%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022b969
     4.48%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461860
     4.24%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461894
     3.37%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461873
     2.73%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618cc
     2.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046189b
     1.84%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bce1
     1.84%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618f8
     1.82%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618d1
     1.78%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461996
     1.76%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b0
     1.74%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f106
     1.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618c8
     1.13%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0f2
     1.04%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0fd
     1.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461901
     0.96%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618fd
     0.91%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2e0
     0.90%  VLLM::EngineCor  python3.10                                         [.] _PyEval_EvalFrameDefault
     0.77%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a18f
     0.69%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d0a
     0.66%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618d7
     0.64%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d34f
     0.63%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bce5
     0.60%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618e1
     0.60%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461999
     0.57%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f112
     0.57%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0e3
     0.56%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461980
     0.55%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046199d
     0.55%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618ed
     0.52%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d0f
     0.50%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618dd
     0.48%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0d7
     0.46%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046189d
     0.44%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0e0
     0.43%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046199b
     0.41%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b9b
     0.40%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] finish_task_switch.isra.0
     0.39%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2cf
     0.35%  VLLM::EngineCor  [vdso]                                             [.] __vdso_clock_gettime
     0.35%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cef
     0.35%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022b96c
     0.34%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b85
     0.34%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618e5
     0.31%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046188f
     0.29%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d352
     0.23%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b6
     0.23%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0fa
     0.23%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618d4
     0.21%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcd9
     0.20%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b38
     0.20%  vllm             python3.10                                         [.] _PyEval_EvalFrameDefault
     0.20%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d16
     0.19%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022bc53
     0.19%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021efc0
     0.19%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b81
     0.19%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409eb0
     0.19%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b7a
     0.19%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000023d33e
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cae
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cd4
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040760c
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b88
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022bc20
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d36b
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d220
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b6c
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] clock_gettime@plt
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000ce5
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025ddf3
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a176
     0.18%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000afd
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000023d320
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2d8
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409ec1
     0.18%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d33e
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004075b8
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409ee6
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3dc
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d358
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f11c
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025dde0
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] pthread_once@plt
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0d3
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409efe
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022b93b
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409f33
     0.17%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d1d
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000407560
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a320
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3cb
     0.17%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cd1
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025de4a
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bc90
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409ef3
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3f8
     0.17%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d27f
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000045dc90
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021efd0
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025de63
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021eff9
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409ecf
     0.16%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cf4
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d640
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d232
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d680
     0.16%  VLLM::EngineCor  libc.so.6                                          [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040757c
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f08f
     0.16%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcab
     0.15%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a0b8
     0.15%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b1d
     0.15%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025de2f
     0.15%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004075aa
     0.15%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409eb8
     0.14%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2bf
     0.14%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022bc36
     0.14%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2cb
     0.13%  VLLM::EngineCor  python3.10                                         [.] _PyObject_GenericGetAttrWithDict
     0.12%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618f4
