# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'task-clock'
# Event count (approx.): 260417052875
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    41.71%  python   libscipy_openblas-68440149.so                      [.] blas_thread_server
    34.95%  python   libscipy_openblas64_-56d6093b.so                   [.] blas_thread_server
     3.41%  python   python3.10                                         [.] _PyEval_EvalFrameDefault
     0.56%  python   python3.10                                         [.] _PyObject_GenericGetAttrWithDict
     0.43%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b21
     0.40%  python   python3.10                                         [.] PyDict_SetDefault
     0.38%  python   python3.10                                         [.] 0x000000000015de24
     0.29%  python   python3.10                                         [.] _PyObject_GetMethod
     0.27%  python   [kernel.kallsyms]                                  [k] do_user_addr_fault
     0.24%  python   python3.10                                         [.] 0x000000000015ee38
     0.23%  python   [kernel.kallsyms]                                  [k] handle_softirqs
     0.19%  python   python3.10                                         [.] 0x000000000015da6b
     0.18%  python   python3.10                                         [.] _PyObject_GenericSetAttrWithDict
     0.17%  python   python3.10                                         [.] 0x000000000015cc88
     0.16%  python   python3.10                                         [.] 0x0000000000152a6a
     0.15%  python   libc.so.6                                          [.] __memmove_avx512_unaligned_erms
     0.14%  python   python3.10                                         [.] PyCode_NewWithPosOnlyArgs
     0.13%  python   python3.10                                         [.] 0x000000000015ded0
     0.12%  python   libc.so.6                                          [.] malloc
     0.12%  python   ld-linux-x86-64.so.2                               [.] do_lookup_x
     0.10%  python   [kernel.kallsyms]                                  [k] _raw_spin_unlock_irqrestore
     0.10%  python   python3.10                                         [.] _PyFunction_Vectorcall
     0.10%  python   libscipy_openblas-68440149.so                      [.] exec_blas_async_wait
     0.10%  python   python3.10                                         [.] _PyObject_MakeTpCall
     0.09%  python   python3.10                                         [.] PyObject_GetAttr
     0.09%  python   python3.10                                         [.] PyObject_RichCompare
     0.09%  python   python3.10                                         [.] 0x000000000015ee3f
     0.09%  python   python3.10                                         [.] 0x000000000015e514
     0.09%  python   libc.so.6                                          [.] _int_free
     0.08%  python   libc.so.6                                          [.] __memset_avx512_unaligned_erms
     0.08%  python   python3.10                                         [.] _PyDict_DelItem_KnownHash
     0.08%  python   python3.10                                         [.] PyType_GenericAlloc
     0.08%  python   libc.so.6                                          [.] _int_malloc
     0.08%  python   python3.10                                         [.] 0x000000000015de28
     0.07%  python   python3.10                                         [.] 0x0000000000184fcf
     0.07%  python   python3.10                                         [.] PyDict_GetItemWithError
     0.07%  python   python3.10                                         [.] PyType_Ready
     0.07%  python   python3.10                                         [.] 0x000000000015d6bf
     0.07%  python   ld-linux-x86-64.so.2                               [.] strcmp
     0.07%  python   python3.10                                         [.] PyTuple_New
     0.07%  python   libc.so.6                                          [.] __memcmp_evex_movbe
     0.07%  python   python3.10                                         [.] PyObject_SetAttr
     0.06%  python   python3.10                                         [.] PyUnicode_FromFormatV
     0.06%  python   python3.10                                         [.] _PyUnicode_JoinArray
     0.06%  python   python3.10                                         [.] 0x00000000001a1abb
     0.06%  python   [kernel.kallsyms]                                  [k] mem_cgroup_commit_charge
     0.06%  python   python3.10                                         [.] PyFunction_NewWithQualName
     0.06%  python   python3.10                                         [.] 0x000000000015e483
     0.06%  python   [kernel.kallsyms]                                  [k] _copy_to_iter
     0.06%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b10
     0.06%  python   python3.10                                         [.] _PyObject_GC_NewVar
     0.06%  python   python3.10                                         [.] 0x000000000015e50a
     0.06%  python   python3.10                                         [.] 0x0000000000173b27
     0.05%  python   python3.10                                         [.] 0x00000000001529e0
     0.05%  python   python3.10                                         [.] 0x000000000022034f
     0.05%  python   ld-linux-x86-64.so.2                               [.] _dl_lookup_symbol_x
     0.05%  python   python3.10                                         [.] 0x00000000001a38ea
     0.05%  python   python3.10                                         [.] 0x0000000000220370
     0.05%  python   python3.10                                         [.] PyList_Append
     0.05%  python   python3.10                                         [.] PyObject_Malloc
     0.05%  python   python3.10                                         [.] PyType_IsSubtype
     0.05%  python   python3.10                                         [.] 0x00000000001855b5
     0.04%  python   python3.10                                         [.] 0x00000000001591ed
     0.04%  python   python3.10                                         [.] 0x000000000015ee30
     0.04%  python   python3.10                                         [.] 0x000000000022036d
     0.04%  python   ld-linux-x86-64.so.2                               [.] check_match
     0.04%  python   python3.10                                         [.] PyList_New
     0.04%  python   python3.10                                         [.] PyUnicode_InternInPlace
     0.04%  python   python3.10                                         [.] 0x0000000000180c03
     0.04%  python   python3.10                                         [.] PyUnicode_Substring
     0.04%  python   python3.10                                         [.] 0x000000000015e57b
     0.04%  python   libc.so.6                                          [.] __strlen_evex
     0.04%  python   python3.10                                         [.] PyUnicode_Format
     0.04%  python   python3.10                                         [.] _PyDict_GetItemIdWithError
     0.03%  python   [kernel.kallsyms]                                  [k] __pte_offset_map_lock
     0.03%  python   [kernel.kallsyms]                                  [k] __raw_callee_save___pv_queued_spin_unlock
     0.03%  python   python3.10                                         [.] _PyObject_GC_New
     0.03%  python   python3.10                                         [.] 0x000000000015cfe5
     0.03%  python   python3.10                                         [.] 0x000000000015e5cd
     0.03%  python   [kernel.kallsyms]                                  [k] do_syscall_64
     0.03%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] NpyIter_AdvancedNew
     0.03%  python   ld-linux-x86-64.so.2                               [.] _dl_relocate_object
     0.03%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b13
     0.03%  python   python3.10                                         [.] PyUnicode_RichCompare
     0.03%  python   python3.10                                         [.] PyUnicode_Splitlines
     0.03%  python   python3.10                                         [.] 0x0000000000153c92
     0.03%  python   python3.10                                         [.] 0x00000000001689fb
     0.03%  python   python3.10                                         [.] 0x0000000000180c31
     0.03%  python   python3.10                                         [.] 0x000000000015d023
     0.03%  python   python3.10                                         [.] 0x0000000000180b85
     0.03%  python   python3.10                                         [.] 0x00000000002b6450
     0.03%  python   [kernel.kallsyms]                                  [k] mas_walk
     0.03%  python   [kernel.kallsyms]                                  [k] native_write_msr
     0.03%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_dealloc
     0.03%  python   python3.10                                         [.] _PyType_Lookup
     0.03%  python   python3.10                                         [.] 0x0000000000152a5b
     0.03%  python   python3.10                                         [.] 0x000000000015e51c
     0.03%  python   python3.10                                         [.] 0x0000000000168940
     0.03%  python   python3.10                                         [.] 0x00000000002202d8
     0.03%  python   python3.10                                         [.] 0x00000000002202ff
     0.03%  python   python3.10                                         [.] 0x0000000000220358
     0.03%  python   python3.10                                         [.] 0x00000000002b644b
     0.03%  python   [kernel.kallsyms]                                  [k] clear_page_erms
     0.03%  python   [kernel.kallsyms]                                  [k] percpu_counter_add_batch
     0.03%  python   libc.so.6                                          [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.03%  python   libc.so.6                                          [.] unlink_chunk.constprop.0
     0.03%  python   python3.10                                         [.] PyMem_Malloc
     0.03%  python   python3.10                                         [.] _PyObject_LookupSpecial
     0.03%  python   python3.10                                         [.] _PyUnicodeWriter_PrepareInternal
     0.03%  python   python3.10                                         [.] 0x0000000000152a55
     0.03%  python   python3.10                                         [.] 0x0000000000152b84
     0.03%  python   python3.10                                         [.] 0x0000000000153c80
     0.03%  python   python3.10                                         [.] 0x000000000016d2fb
     0.03%  python   python3.10                                         [.] 0x000000000020b6a8
     0.03%  python   python3.10                                         [.] 0x00000000002b6466
     0.03%  python   [kernel.kallsyms]                                  [k] __d_lookup_rcu
     0.03%  python   [kernel.kallsyms]                                  [k] irqentry_exit_to_user_mode
     0.03%  python   libc.so.6                                          [.] __strcmp_evex
     0.03%  python   python3.10                                         [.] PyMem_Free
     0.03%  python   python3.10                                         [.] PyObject_IsTrue
     0.03%  python   python3.10                                         [.] _PyDict_NewPresized
     0.03%  python   python3.10                                         [.] _PyLong_New
     0.03%  python   python3.10                                         [.] 0x00000000001529f3
     0.03%  python   python3.10                                         [.] 0x0000000000152a73
     0.03%  python   python3.10                                         [.] 0x000000000015d063
     0.03%  python   python3.10                                         [.] 0x000000000015df7a
     0.03%  python   python3.10                                         [.] 0x00000000001a3a00
     0.02%  python   python3.10                                         [.] PyMem_Realloc
     0.02%  python   python3.10                                         [.] PySlice_New
     0.02%  python   python3.10                                         [.] _PyObject_FastCallDictTstate
     0.02%  python   python3.10                                         [.] 0x000000000016b84a
     0.02%  python   python3.10                                         [.] 0x0000000000173be6
     0.02%  python   python3.10                                         [.] 0x0000000000180b70
     0.02%  python   python3.10                                         [.] 0x00000000002b646b
     0.02%  python   [kernel.kallsyms]                                  [k] __rcu_read_lock
     0.02%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.02%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_NewFromDescr_int
     0.02%  python   libc.so.6                                          [.] cfree@GLIBC_2.2.5
     0.02%  python   python3.10                                         [.] PyBytes_FromStringAndSize
     0.02%  python   python3.10                                         [.] PyObject_Free
     0.02%  python   python3.10                                         [.] 0x0000000000152a5f
     0.02%  python   python3.10                                         [.] 0x000000000015ee5c
     0.02%  python   python3.10                                         [.] 0x000000000016d2f8
     0.02%  python   python3.10                                         [.] 0x0000000000184f40
     0.02%  python   python3.10                                         [.] 0x0000000000184fb5
     0.02%  python   python3.10                                         [.] 0x000000000018500f
     0.02%  python   python3.10                                         [.] 0x00000000001a3ac6
     0.02%  python   python3.10                                         [.] 0x00000000002202a0
     0.02%  python   python3.10                                         [.] 0x000000000022031e
     0.02%  python   _backend_agg.cpython-310-x86_64-linux-gnu.so       [.] void agg::render_scanlines<agg::rasterizer_scanline_aa<agg::rasterizer_sl_clip<agg::ras_conv_dbl> >, agg::scanline32_p8, agg::renderer_scanline_bin_solid<agg::renderer_base<agg::pixfmt_alpha_blend_rgba<fixed_blender_rgba_plain<agg::rgba8T<agg::linear>, agg::order_rgba>, agg::row_accessor<unsigned char> > > > >(agg::rasterizer_scanline_aa<agg::rasterizer_sl_clip<agg::ras_conv_dbl> >&, agg::scanline32_p8&, agg::renderer_scanline_bin_solid<agg::renderer_base<agg::pixfmt_alpha_blend_rgba<fixed_blender_rgba_plain<agg::rgba8T<agg::linear>, agg::order_rgba>, agg::row_accessor<unsigned char> > > >&)
     0.02%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] dispatcher_vectorcall
     0.02%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] raw_array_assign_array
     0.02%  python   python3.10                                         [.] PyImport_ImportModuleLevelObject
     0.02%  python   python3.10                                         [.] PyObject_GC_Del
     0.02%  python   python3.10                                         [.] PyObject_GetIter
     0.02%  python   python3.10                                         [.] PyTraceBack_Here
     0.02%  python   python3.10                                         [.] 0x000000000014ee1c
     0.02%  python   python3.10                                         [.] 0x0000000000152a78
     0.02%  python   python3.10                                         [.] 0x0000000000152aa3
     0.02%  python   python3.10                                         [.] 0x000000000015cdbb
     0.02%  python   python3.10                                         [.] 0x000000000015cf5c
     0.02%  python   python3.10                                         [.] 0x000000000015d716
     0.02%  python   python3.10                                         [.] 0x0000000000185295
     0.02%  python   python3.10                                         [.] 0x00000000002202b3
     0.02%  python   [kernel.kallsyms]                                  [k] __handle_mm_fault
     0.02%  python   [kernel.kallsyms]                                  [k] __pte_offset_map
     0.02%  python   [kernel.kallsyms]                                  [k] __rmqueue_pcplist
     0.02%  python   [kernel.kallsyms]                                  [k] kmem_cache_alloc
     0.02%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] ufunc_generic_fastcall
     0.02%  python   libc.so.6                                          [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.02%  python   python3.10                                         [.] PyObject_SetItem
     0.02%  python   python3.10                                         [.] PySlice_Unpack
     0.02%  python   python3.10                                         [.] _PyUnicode_FromASCII
     0.02%  python   python3.10                                         [.] memcmp@plt
