# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'task-clock'
# Event count (approx.): 58808080220
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    14.43%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000ccb
     9.96%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618ce
     5.98%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022b969
     4.52%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461894
     3.95%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461860
     3.28%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461873
     2.44%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046189b
     1.82%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461996
     1.79%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f106
     1.70%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bce1
     1.67%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b0
     1.56%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2e0
     1.53%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618d1
     1.51%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461901
     1.43%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618f8
     1.22%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618c8
     0.94%  VLLM::EngineCor  python3.10                                         [.] _PyEval_EvalFrameDefault
     0.93%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0f2
     0.77%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0fd
     0.76%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618e1
     0.69%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0e0
     0.69%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618cc
     0.69%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618fd
     0.67%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a18f
     0.64%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d0a
     0.62%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461999
     0.58%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046189d
     0.58%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618ed
     0.57%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f112
     0.53%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bce5
     0.52%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0e3
     0.52%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618dd
     0.52%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046199b
     0.52%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2cf
     0.50%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046199d
     0.50%  vllm             python3.10                                         [.] _PyEval_EvalFrameDefault
     0.45%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] finish_task_switch.isra.0
     0.45%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b85
     0.45%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000b9b
     0.45%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000d0f
     0.45%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618d7
     0.40%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461980
     0.38%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046188f
     0.36%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0fa
     0.34%  VLLM::EngineCor  [vdso]                                             [.] __vdso_clock_gettime
     0.34%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cef
