# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 279K of event 'task-clock'
# Event count (approx.): 1403351583375
#
# Overhead  Command        Shared Object                                     Symbol                                                                                                                                                                                                                                                                                           
# ........  .............  ................................................  .................................................................................................................................................................................................................................................................................................
#
    45.44%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee2f
    12.78%  pytest         [kernel.kallsyms]                                 [k] __schedule
     9.48%  pytest         [kernel.kallsyms]                                 [k] do_sched_yield
     8.97%  pytest         [kernel.kallsyms]                                 [k] do_syscall_64
     6.93%  pytest         libc.so.6                                         [.] 0x0000000000108c9b
     2.70%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b4
     2.12%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee31
     1.09%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee1c
     1.07%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee37
     1.06%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038ee2b
     1.05%  pytest         [kernel.kallsyms]                                 [k] __seccomp_filter
     0.87%  pytest         [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.53%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f45e
     0.52%  pytest         [kernel.kallsyms]                                 [k] populate_seccomp_data
     0.40%  pytest         [kernel.kallsyms]                                 [k] syscall_trace_enter
     0.40%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f44f
     0.39%  pytest         [kernel.kallsyms]                                 [k] schedule
     0.38%  pytest         [kernel.kallsyms]                                 [k] x64_sys_call
     0.35%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b2
     0.30%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f450
     0.30%  pytest         libopenblasp-r0.3.28.so                           [.] 0x000000000038f448
     0.25%  pytest         [kernel.kallsyms]                                 [k] __secure_computing
     0.21%  pytest         [kernel.kallsyms]                                 [k] schedule_debug.constprop.0
     0.19%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b6
     0.10%  python         [kernel.kallsyms]                                 [k] __schedule
     0.10%  pytest         libc.so.6                                         [.] __sched_setscheduler
     0.10%  pytest         [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode_prepare
     0.07%  pytest         [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     0.06%  pytest         [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.06%  pytest         libc.so.6                                         [.] __sched_getparam
     0.06%  python         [kernel.kallsyms]                                 [k] do_syscall_64
     0.05%  pytest         [kernel.kallsyms]                                 [k] rseq_update_cpu_node_id
     0.05%  pytest         [kernel.kallsyms]                                 [k] __x64_sys_sched_yield
     0.05%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506bc
     0.05%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x000000000010f960
     0.05%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506a4
     0.05%  python         libc.so.6                                         [.] 0x0000000000108c9b
     0.03%  test_program   libgomp.so.1.0.0                                  [.] 0x00000000000207ba
     0.03%  pytest         [kernel.kallsyms]                                 [k] __put_user_8
     0.02%  pytest         [kernel.kallsyms]                                 [k] __get_user_8
     0.02%  python         [kernel.kallsyms]                                 [k] do_sched_yield
     0.02%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d35
     0.01%  pytest         [kernel.kallsyms]                                 [k] rseq_ip_fixup
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x0000000000350d39
     0.01%  python         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506b4
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000003506a8
     0.01%  pytest         libopenblas64_p-r0-0cf96a72.3.23.dev.so           [.] 0x00000000012f9d5d
     0.01%  test_program   libgomp.so.1.0.0                                  [.] 0x0000000000020602
