# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'task-clock'
# Event count (approx.): 15683415125
#
# Overhead  Command  Shared Object                           Symbol                                       
# ........  .......  ......................................  .............................................
#
     1.44%  python   python3.9                               [.] 0x00000000000e79c6
     0.77%  python   python3.9                               [.] 0x00000000000e7b64
     0.70%  python   python3.9                               [.] 0x00000000000f6473
     0.67%  python   python3.9                               [.] 0x00000000000f52fa
     0.61%  python   python3.9                               [.] 0x00000000000e799f
     0.61%  python   python3.9                               [.] 0x00000000000e7a22
     0.58%  python   python3.9                               [.] 0x00000000000e7b30
     0.58%  python   python3.9                               [.] 0x00000000000f6582
     0.51%  python   python3.9                               [.] 0x00000000000d5d03
     0.45%  python   python3.9                               [.] 0x00000000000d9d4f
     0.42%  python   python3.9                               [.] 0x00000000000ddda4
     0.42%  python   python3.9                               [.] 0x00000000000e79a4
     0.42%  python   python3.9                               [.] 0x00000000000f0182
     0.35%  python   [kernel.kallsyms]                       [k] do_user_addr_fault
     0.35%  python   python3.9                               [.] 0x00000000000d9cdc
     0.35%  python   python3.9                               [.] 0x00000000000e79ab
     0.35%  python   python3.9                               [.] 0x00000000000f90de
     0.32%  python   libc.so.6                               [.] __memchr_evex
     0.32%  python   python3.9                               [.] 0x00000000000e7a08
     0.32%  python   python3.9                               [.] 0x00000000000f5305
     0.29%  python   python3.9                               [.] 0x00000000000e7dbb
     0.29%  python   python3.9                               [.] 0x00000000000f0110
     0.29%  python   python3.9                               [.] 0x00000000000f6684
     0.26%  python   python3.9                               [.] 0x00000000000d2e19
     0.26%  python   python3.9                               [.] 0x00000000000dde4b
     0.26%  python   python3.9                               [.] 0x00000000000e7a1c
     0.26%  python   python3.9                               [.] 0x00000000000e7a81
     0.26%  python   python3.9                               [.] 0x00000000000e7c08
     0.26%  python   python3.9                               [.] 0x00000000000e831d
     0.22%  python   libc.so.6                               [.] __memmove_avx512_unaligned
     0.22%  python   python3.9                               [.] 0x00000000000e7a5f
     0.22%  python   python3.9                               [.] 0x00000000000e7acb
     0.22%  python   python3.9                               [.] 0x00000000000e7acf
     0.22%  python   python3.9                               [.] 0x00000000000ec3d6
     0.22%  python   python3.9                               [.] 0x00000000000ec481
     0.22%  python   python3.9                               [.] 0x00000000000ef83b
     0.19%  python   [kernel.kallsyms]                       [k] _raw_spin_unlock_irqrestore
     0.19%  python   python3.9                               [.] 0x00000000000d9d3f
     0.19%  python   python3.9                               [.] 0x00000000000e6b0a
     0.19%  python   python3.9                               [.] 0x00000000000e7a03
     0.19%  python   python3.9                               [.] 0x00000000000e7b8c
     0.19%  python   python3.9                               [.] 0x00000000000e7bf3
     0.19%  python   python3.9                               [.] 0x00000000000e7c57
     0.19%  python   python3.9                               [.] 0x00000000000f01a8
     0.19%  python   python3.9                               [.] 0x00000000000f5071
     0.19%  python   python3.9                               [.] 0x00000000000f64fa
     0.19%  python   python3.9                               [.] 0x00000000000f6687
     0.19%  python   python3.9                               [.] 0x00000000000f668e
     0.19%  python   python3.9                               [.] 0x00000000000f6c50
     0.19%  python   python3.9                               [.] 0x00000000000f7cff
     0.19%  python   python3.9                               [.] 0x00000000000f9104
     0.19%  python   python3.9                               [.] 0x000000000010a6a5
     0.16%  python   libc.so.6                               [.] _int_malloc
     0.16%  python   python3.9                               [.] 0x00000000000d2e28
     0.16%  python   python3.9                               [.] 0x00000000000d9d39
     0.16%  python   python3.9                               [.] 0x00000000000dbf69
     0.16%  python   python3.9                               [.] 0x00000000000de8b4
     0.16%  python   python3.9                               [.] 0x00000000000e00c9
     0.16%  python   python3.9                               [.] 0x00000000000e79e7
     0.16%  python   python3.9                               [.] 0x00000000000e7a64
     0.16%  python   python3.9                               [.] 0x00000000000e7a76
     0.16%  python   python3.9                               [.] 0x00000000000e7ad7
     0.16%  python   python3.9                               [.] 0x00000000000e7bfa
     0.16%  python   python3.9                               [.] 0x00000000000e7d4a
     0.16%  python   python3.9                               [.] 0x00000000000e7f99
     0.16%  python   python3.9                               [.] 0x00000000000e8132
     0.16%  python   python3.9                               [.] 0x00000000000f01c2
     0.16%  python   python3.9                               [.] 0x00000000000f7f8d
     0.16%  python   python3.9                               [.] 0x00000000000f8114
     0.16%  python   python3.9                               [.] 0x00000000000f8402
     0.16%  python   python3.9                               [.] 0x0000000000108e95
     0.13%  conda    python3.11                              [.] 0x00000000000f8af4
     0.13%  python   [kernel.kallsyms]                       [k] aa_dfa_match
     0.13%  python   libc.so.6                               [.] __strcpy_evex
     0.13%  python   python3.9                               [.] 0x00000000000d4e01
     0.13%  python   python3.9                               [.] 0x00000000000d5cf8
     0.13%  python   python3.9                               [.] 0x00000000000d65d0
     0.13%  python   python3.9                               [.] 0x00000000000d6675
     0.13%  python   python3.9                               [.] 0x00000000000d9cce
     0.13%  python   python3.9                               [.] 0x00000000000daca2
     0.13%  python   python3.9                               [.] 0x00000000000dc4f0
     0.13%  python   python3.9                               [.] 0x00000000000dc58c
     0.13%  python   python3.9                               [.] 0x00000000000e663d
     0.13%  python   python3.9                               [.] 0x00000000000e6ff9
     0.13%  python   python3.9                               [.] 0x00000000000e788d
     0.13%  python   python3.9                               [.] 0x00000000000e7977
     0.13%  python   python3.9                               [.] 0x00000000000e79b4
     0.13%  python   python3.9                               [.] 0x00000000000e79bf
     0.13%  python   python3.9                               [.] 0x00000000000e7b1a
     0.13%  python   python3.9                               [.] 0x00000000000e7c11
     0.13%  python   python3.9                               [.] 0x00000000000e7cce
     0.13%  python   python3.9                               [.] 0x00000000000e7d5e
     0.13%  python   python3.9                               [.] 0x00000000000e7f11
     0.13%  python   python3.9                               [.] 0x00000000000e7f88
     0.13%  python   python3.9                               [.] 0x00000000000e8218
     0.13%  python   python3.9                               [.] 0x00000000000e8945
     0.13%  python   python3.9                               [.] 0x00000000000e8952
     0.13%  python   python3.9                               [.] 0x00000000000ec33f
     0.13%  python   python3.9                               [.] 0x00000000000ef932
     0.13%  python   python3.9                               [.] 0x00000000000f0196
     0.13%  python   python3.9                               [.] 0x00000000000f33d8
     0.13%  python   python3.9                               [.] 0x00000000000f437a
     0.13%  python   python3.9                               [.] 0x00000000000f5312
     0.13%  python   python3.9                               [.] 0x00000000000f810b
     0.13%  python   python3.9                               [.] 0x00000000000f90eb
     0.13%  python   python3.9                               [.] 0x00000000000fc0f0
     0.13%  python   python3.9                               [.] 0x0000000000100398
     0.13%  python   python3.9                               [.] 0x000000000010335c
     0.13%  python   python3.9                               [.] 0x0000000000103365
     0.13%  python   python3.9                               [.] 0x0000000000108e70
     0.13%  python   python3.9                               [.] 0x0000000000109a90
     0.13%  python   python3.9                               [.] 0x000000000010c7b1
     0.13%  python   python3.9                               [.] 0x00000000001119f3
     0.13%  python   python3.9                               [.] 0x000000000011a856
     0.13%  python   python3.9                               [.] 0x0000000000142299
     0.13%  python   python3.9                               [.] 0x000000000015c755
     0.10%  conda    [kernel.kallsyms]                       [k] _copy_to_iter
