ts_ns	event	pid	ppid	comm	class	action
25777548097952	clockref	0	0	realtime=1784082944017426465	-	-
1784082944029424950	seed	2292686	2292661	tail	agent	seeded
1784082944029524561	seed	2292859	2292661	pip	agent	seeded
1784082944029577728	seed	2292686	2292661	tail	agent	seeded
1784082944029603522	seed	2292859	2292661	pip	agent	seeded
25777690953830	exit	2292859	0		agent	none
1784082945516456445	resync	2292972	2292661	openclaw	agent	moved:agent
1784082945516642927	resync	2292984	2292972	openclaw	agent	moved:agent
25779156102051	exit	2292984	0		agent	none
25779161297430	exit	2292972	0		agent	none
1784082946939564750	resync	2293047	2292661	openclaw	agent	moved:agent
1784082946939668919	resync	2293059	2293047	openclaw	agent	moved:agent
25780587257731	exit	2293059	0		agent	none
25780592448880	exit	2293047	0		agent	none
1784082948012744130	resync	2293097	2292661	openclaw	agent	moved:agent
1784082948012975531	resync	2293110	2293097	openclaw	agent	moved:agent
25782105855845	fork	2293127	2293110	openclaw-gatewa	agent	pending
25782107235495	exec	2293127	2293110	sh	tool	moved:toolexec
25782107639217	exit	2293127	0		tool	none
25782148305543	fork	2293128	2293110	openclaw-gatewa	agent	pending
25782149379988	exec	2293128	0	git	tool	moved:toolexec
25782150046936	exit	2293128	0		tool	none
1784082950093393654	resync	2293151	2292661	openclaw	agent	moved:agent
1784082950093614323	resync	2293163	2293151	openclaw	agent	moved:agent
25784111736099	fork	2293276	2293110	openclaw-gatewa	agent	pending
25784113573568	exec	2293276	0	git	tool	moved:toolexec
25784114230961	exit	2293276	0		tool	none
25784116080880	fork	2293277	2293110		agent	pending
25784117249041	exec	2293277	0		tool	moved:toolexec
25784118848351	exit	2293277	0		tool	none
25793647307386	fork	2294405	2293110	openclaw-gatewa	agent	pending
25793648953873	exec	2294405	0	sh	tool	moved:toolexec
25793649378352	fork	2294406	2294405		tool	moved:toolexec
25793649730136	exec	2294406	0		tool	none
25793650202460	exit	2294406	0		tool	none
25793650309538	fork	2294407	2294405		tool	moved:toolexec
25793650566137	exec	2294407	0		tool	none
25793650833912	exit	2294407	0		tool	none
25793650893874	fork	2294408	2294405		tool	moved:toolexec
25793651062457	exec	2294408	0		tool	none
25793651367493	exit	2294408	0		tool	none
25793651397017	fork	2294409	2294405		tool	moved:toolexec
25793651492355	exec	2294409	0		tool	none
25793651760618	exit	2294409	0		tool	none
25793651842945	exit	2294405	0		tool	none
25793659755364	fork	2294410	2293110	sh	agent	pending
25793661059203	exec	2294410	2293110	sh	tool	moved:toolexec
25793661368722	fork	2294411	2294410		tool	moved:toolexec
25793661421619	fork	2294412	2294410		tool	moved:toolexec
25793661534351	exec	2294411	0		tool	none
25793661726345	exec	2294412	0		tool	none
25793662006977	exit	2294411	0		tool	none
25793662051599	exit	2294412	0		tool	none
25793662127210	exit	2294410	0		tool	none
25793667379693	fork	2294415	2293110	openclaw-gatewa	agent	pending
25793668670102	exec	2294415	2293110	sh	tool	moved:toolexec
25793668971942	fork	2294416	2294415	sh	tool	moved:toolexec
