win	group	t_start	t_end	alive_after
000	fe_lat	1784082950.049754	1784082955.116781	1
001	priv	1784082955.116848	1784082960.135796	1
002	cache	1784082960.135856	1784082965.162654	1
003	core_ports	1784082965.162716	1784082970.183940	1
004	mlp	1784082970.184002	1784082975.201462	1
005	fpbr	1784082975.201522	1784082980.220573	1
006	dram_bw	1784082980.220636	1784082985.239190	1
007	fe	1784082985.239250	1784082990.260351	1
008	priv	1784082990.261510	1784082995.282650	1
009	dram_bw	1784082995.282720	1784083000.301137	1
010	fe_lat	1784083000.301196	1784083005.321677	1
011	fpbr	1784083005.321738	1784083010.341076	1
012	fe	1784083010.341134	1784083015.362370	1
013	mlp	1784083015.362442	1784083020.380209	1
014	core_ports	1784083020.380274	1784083025.401759	1
015	cache	1784083025.401816	1784083030.421920	1
016	fpbr	1784083030.422949	1784083035.441755	1
017	core_ports	1784083035.441816	1784083040.462742	1
018	priv	1784083040.462811	1784083045.483940	1
019	mlp	1784083045.484005	1784083050.502365	1
020	dram_bw	1784083050.502429	1784083055.522923	1
021	fe	1784083055.522986	1784083060.543870	1
022	fe_lat	1784083060.543935	1784083065.565857	1
023	cache	1784083065.565923	1784083070.588641	1
024	priv	1784083070.589682	1784083075.608758	1
025	dram_bw	1784083075.608817	1784083080.627211	1
026	fe	1784083080.627275	1784083085.648619	1
027	core_ports	1784083085.648680	1784083090.669662	1
028	mlp	1784083090.669726	1784083095.687755	1
029	cache	1784083095.687814	1784083100.709563	1
030	fpbr	1784083100.709626	1784083105.730592	1
031	fe_lat	1784083105.730659	1784083110.751871	1
032	core_ports	1784083110.752932	1784083115.774010	1
033	fe_lat	1784083115.774073	1784083120.796470	1
034	cache	1784083120.796535	1784083125.819660	1
035	priv	1784083125.819721	1784083130.838641	1
036	fe	1784083130.838700	1784083135.858804	1
037	fpbr	1784083135.858865	1784083140.878107	1
038	dram_bw	1784083140.878170	1784083145.896655	1
039	mlp	1784083145.896716	1784083150.916842	1
040	core_ports	1784083150.917886	1784083155.940427	1
041	priv	1784083155.940495	1784083160.960786	1
042	dram_bw	1784083160.960848	1784083165.979101	1
043	fe_lat	1784083165.979163	1784083171.000229	1
044	fe	1784083171.000292	1784083176.021157	1
045	cache	1784083176.021218	1784083181.043419	1
046	fpbr	1784083181.043480	1784083186.063287	1
047	mlp	1784083186.063358	1784083191.081487	1
048	cache	1784083191.082579	1784083196.104121	1
049	core_ports	1784083196.104188	1784083201.126530	1
050	mlp	1784083201.126595	1784083206.144616	1
051	dram_bw	1784083206.144680	1784083211.164136	1
052	fe_lat	1784083211.164198	1784083216.185008	1
053	fe	1784083216.185071	1784083221.206307	1
054	priv	1784083221.206379	1784083226.227094	1
055	fpbr	1784083226.227161	1784083231.247155	1
056	mlp	1784083231.248280	1784083236.267945	1
057	fe_lat	1784083236.268010	1784083241.289305	1
058	core_ports	1784083241.289371	1784083246.311101	1
059	fe	1784083246.311167	1784083251.332976	1
060	cache	1784083251.333037	1784083256.354366	1
061	fpbr	1784083256.354434	1784083261.375236	1
062	dram_bw	1784083261.375294	1784083266.394783	1
063	priv	1784083266.394850	1784083271.414141	1
064	cache	1784083271.415206	1784083276.435790	1
065	fe_lat	1784083276.435855	1784083281.458384	1
066	mlp	1784083281.458450	1784083286.477181	1
067	core_ports	1784083286.477246	1784083291.498505	1
068	priv	1784083291.498565	1784083296.517593	1
069	fpbr	1784083296.517658	1784083301.537724	1
070	dram_bw	1784083301.537786	1784083306.557793	1
071	fe	1784083306.557854	1784083311.580520	1
072	priv	1784083311.581546	1784083316.600737	1
073	fpbr	1784083316.600801	1784083321.620058	1
074	cache	1784083321.620122	1784083326.640919	1
075	mlp	1784083326.640985	1784083331.659619	1
076	fe_lat	1784083331.659684	1784083336.683032	1
077	core_ports	1784083336.683102	1784083341.705204	1
078	dram_bw	1784083341.705268	1784083346.725115	1
079	fe	1784083346.725180	1784083351.746291	1
080	mlp	1784083351.747379	1784083356.764932	1
081	fpbr	1784083356.764989	1784083361.783869	1
082	fe_lat	1784083361.783929	1784083366.804699	1
083	core_ports	1784083366.804758	1784083371.825599	1
084	fe	1784083371.825660	1784083376.845699	1
085	priv	1784083376.845765	1784083381.864769	1
086	dram_bw	1784083381.864829	1784083386.883254	1
087	cache	1784083386.883313	1784083391.903449	1
088	core_ports	1784083391.904488	1784083396.924783	1
089	fpbr	1784083396.924843	1784083401.943928	1
090	fe_lat	1784083401.943986	1784083406.965779	1
091	fe	1784083406.965839	1784083411.985945	1
092	mlp	1784083411.986004	1784083417.003373	1
093	dram_bw	1784083417.003433	1784083422.021599	1
094	priv	1784083422.021660	1784083427.040539	1
095	cache	1784083427.040599	1784083432.061977	1
096	cache	1784083432.063015	1784083437.092347	1
097	core_ports	1784083437.092410	1784083442.115121	1
098	priv	1784083442.115184	1784083447.138973	1
099	fpbr	1784083447.139031	1784083452.159175	1
100	mlp	1784083452.159232	1784083457.178022	1
101	dram_bw	1784083457.178080	1784083462.196048	1
102	fe	1784083462.196105	1784083467.216032	1
103	fe_lat	1784083467.216090	1784083472.235932	1
104	fe_lat	1784083472.236963	1784083477.257397	1
105	fpbr	1784083477.257459	1784083482.276292	1
106	core_ports	1784083482.276360	1784083487.297829	1
107	cache	1784083487.297889	1784083492.318324	1
108	fe	1784083492.318390	1784083497.338402	1
109	dram_bw	1784083497.338463	1784083502.356580	1
110	mlp	1784083502.356638	1784083507.373919	1
111	priv	1784083507.373977	1784083512.392503	1
112	fe_lat	1784083512.393554	1784083517.413711	1
113	fpbr	1784083517.413769	1784083522.432710	1
114	mlp	1784083522.432769	1784083527.450172	1
115	fe	1784083527.450229	1784083532.470442	1
116	cache	1784083532.470501	1784083537.490748	1
117	core_ports	1784083537.490825	1784083542.511877	1
118	priv	1784083542.511938	1784083547.530532	1
119	dram_bw	1784083547.530590	1784083552.548725	1
120	cache	1784083552.549760	1784083557.569847	1
121	fe	1784083557.569905	1784083562.590181	1
122	fe_lat	1784083562.590238	1784083567.611362	1
123	core_ports	1784083567.611423	1784083572.632149	1
124	dram_bw	1784083572.632207	1784083577.650300	1
125	fpbr	1784083577.650366	1784083582.669462	1
126	mlp	1784083582.669525	1784083587.687780	1
127	priv	1784083587.687839	1784083592.706553	1
