ts_ns	event	pid	ppid	comm	class	action
27235161176677	clockref	0	0	realtime=1784084401630505290	-	-
1784084401646385845	seed	2449757	2449731	tail	agent	seeded
1784084401646889686	seed	2449963	2449731	openclaw	agent	seeded
1784084401646955961	seed	2449975	2449963	openclaw	agent	seeded
1784084401647003482	seed	2449757	2449731	tail	agent	seeded
1784084401647028160	seed	2449963	2449731	openclaw	agent	seeded
1784084401647051224	seed	2449975	2449963	openclaw	agent	seeded
27235370596649	exit	2449975	0		agent	none
27235375561793	exit	2449963	0		agent	none
1784084402880900935	resync	2450084	2449731	openclaw	agent	moved:agent
1784084402881285675	resync	2450096	2450084	openclaw	agent	moved:agent
27236813192529	exit	2450096	0		agent	none
27236818308606	exit	2450084	0		agent	none
1784084404539558621	resync	2450131	2449731	openclaw	agent	moved:agent
1784084404539660864	resync	2450144	2450131	openclaw	agent	moved:agent
27238336831677	fork	2450164	2450144	openclaw-gatewa	agent	pending
27238338239597	exec	2450164	2450144	sh	tool	moved:toolexec
27238338664593	exit	2450164	0		tool	none
27238382014702	fork	2450165	2450144	openclaw-gatewa	agent	pending
27238383171816	exec	2450165	0	git	tool	moved:toolexec
27238383853377	exit	2450165	0		tool	none
1784084405569668428	resync	2450188	2449731	openclaw	agent	moved:agent
1784084405569832520	resync	2450200	2450188	openclaw	agent	moved:agent
27240340141949	fork	2450385	2450144	openclaw-gatewa	agent	pending
27240341738745	exec	2450385	0	git	tool	moved:toolexec
27240342389541	exit	2450385	0		tool	none
27240344230470	fork	2450386	2450144		agent	pending
27240345474051	exec	2450386	0		tool	moved:toolexec
27240347099428	exit	2450386	0		tool	none
27252343675573	fork	2451807	2450144	openclaw-gatewa	agent	pending
27252345509836	exec	2451807	0	sh	tool	moved:toolexec
27252345924675	fork	2451808	2451807		tool	moved:toolexec
27252346269246	exec	2451808	0		tool	none
27252346731584	exit	2451808	0		tool	none
27252346841670	fork	2451809	2451807		tool	moved:toolexec
27252347166514	exec	2451809	0		tool	none
27252347433835	exit	2451809	0		tool	none
27252347493289	fork	2451810	2451807		tool	moved:toolexec
27252347717169	exec	2451810	0		tool	none
27252348031670	exit	2451810	0		tool	none
27252348060525	fork	2451811	2451807		tool	moved:toolexec
27252348152132	exec	2451811	0		tool	none
27252348420614	exit	2451811	0		tool	none
27252348499576	exit	2451807	0		tool	none
27252356612585	fork	2451812	2450144	openclaw-gatewa	agent	pending
27252357874119	exec	2451812	2450144	sh	tool	moved:toolexec
27252358200388	fork	2451813	2451812	sh	tool	moved:toolexec
