win	group	t_start	t_end	alive_after
000	mlp	1784084405.658043	1784084410.708753	1
001	core_ports	1784084410.708819	1784084415.729042	1
002	priv	1784084415.729108	1784084420.747791	1
003	cache	1784084420.747854	1784084425.767898	1
004	fe	1784084425.767959	1784084430.788128	1
005	fe_lat	1784084430.788186	1784084435.808628	1
006	fpbr	1784084435.808688	1784084440.827832	1
007	dram_bw	1784084440.827895	1784084445.846146	1
008	fe	1784084445.847390	1784084450.868262	1
009	dram_bw	1784084450.868324	1784084455.887171	1
010	fpbr	1784084455.887824	1784084460.907440	1
011	priv	1784084460.907498	1784084465.927527	1
012	fe_lat	1784084465.927584	1784084470.949624	1
013	mlp	1784084470.949687	1784084475.967295	1
014	core_ports	1784084475.967913	1784084480.988445	1
015	cache	1784084480.988504	1784084486.008495	1
016	fpbr	1784084486.010134	1784084491.028840	1
017	mlp	1784084491.029454	1784084496.046667	1
018	fe_lat	1784084496.046728	1784084501.066844	1
019	dram_bw	1784084501.067374	1784084506.089525	1
020	core_ports	1784084506.089589	1784084511.110365	1
021	fe	1784084511.110426	1784084516.130656	1
022	priv	1784084516.130718	1784084521.149269	1
023	cache	1784084521.149340	1784084526.169373	1
024	cache	1784084526.170942	1784084531.191801	1
025	mlp	1784084531.191860	1784084536.209186	1
026	priv	1784084536.209246	1784084541.227797	1
027	dram_bw	1784084541.228357	1784084546.247052	1
028	core_ports	1784084546.247642	1784084551.267514	1
029	fpbr	1784084551.267576	1784084556.287669	1
030	fe_lat	1784084556.287725	1784084561.307651	1
031	fe	1784084561.307710	1784084566.327595	1
032	fpbr	1784084566.328647	1784084571.347402	1
033	fe	1784084571.347458	1784084576.367970	1
034	core_ports	1784084576.368033	1784084581.388546	1
035	priv	1784084581.388608	1784084586.407237	1
036	fe_lat	1784084586.407296	1784084591.428119	1
037	cache	1784084591.428181	1784084596.448862	1
038	mlp	1784084596.448922	1784084601.466838	1
039	dram_bw	1784084601.466899	1784084606.485306	1
040	core_ports	1784084606.486383	1784084611.506495	1
041	fe	1784084611.506558	1784084616.526786	1
042	cache	1784084616.526848	1784084621.547401	1
043	fe_lat	1784084621.547464	1784084626.568233	1
044	mlp	1784084626.568298	1784084631.587011	1
045	priv	1784084631.587077	1784084636.607791	1
046	fpbr	1784084636.607853	1784084641.627720	1
047	dram_bw	1784084641.627784	1784084646.646446	1
048	fe_lat	1784084646.647551	1784084651.668069	1
049	dram_bw	1784084651.668133	1784084656.688143	1
050	priv	1784084656.688203	1784084661.707028	1
051	cache	1784084661.707086	1784084666.727579	1
052	mlp	1784084666.727640	1784084671.744776	1
053	fe	1784084671.744836	1784084676.764975	1
054	fpbr	1784084676.765036	1784084681.785204	1
055	core_ports	1784084681.785266	1784084686.805318	1
056	fe_lat	1784084686.806387	1784084691.826435	1
057	cache	1784084691.826494	1784084696.850985	1
058	dram_bw	1784084696.851047	1784084701.871119	1
059	fe	1784084701.871200	1784084706.891214	1
060	core_ports	1784084706.891275	1784084711.911897	1
061	priv	1784084711.911958	1784084716.931141	1
062	mlp	1784084716.931203	1784084721.948493	1
063	fpbr	1784084721.948558	1784084726.968665	1
064	fpbr	1784084726.970024	1784084731.989227	1
065	dram_bw	1784084731.989286	1784084737.007513	1
066	priv	1784084737.007573	1784084742.026429	1
067	fe	1784084742.026488	1784084747.046417	1
068	core_ports	1784084747.046475	1784084752.067614	1
069	cache	1784084752.067674	1784084757.087655	1
070	mlp	1784084757.087715	1784084762.104845	1
071	fe_lat	1784084762.104905	1784084767.124907	1
072	cache	1784084767.125930	1784084772.145886	1
073	mlp	1784084772.145943	1784084777.163765	1
074	fe	1784084777.163824	1784084782.185086	1
075	priv	1784084782.185147	1784084787.204196	1
076	dram_bw	1784084787.204253	1784084792.222374	1
077	fpbr	1784084792.222435	1784084797.241631	1
078	fe_lat	1784084797.241693	1784084802.262584	1
079	core_ports	1784084802.262648	1784084807.284026	1
080	fpbr	1784084807.285106	1784084812.305407	1
081	core_ports	1784084812.305467	1784084817.333050	1
082	mlp	1784084817.333131	1784084822.354398	1
083	priv	1784084822.354459	1784084827.382219	1
084	fe_lat	1784084827.382283	1784084832.403823	1
085	fe	1784084832.403891	1784084837.424830	1
086	dram_bw	1784084837.424889	1784084842.442952	1
087	cache	1784084842.443015	1784084847.464441	1
088	fpbr	1784084847.465541	1784084852.486298	1
089	core_ports	1784084852.486368	1784084857.506570	1
090	mlp	1784084857.506629	1784084862.524892	1
091	cache	1784084862.524959	1784084867.546159	1
092	priv	1784084867.546222	1784084872.565835	1
093	fe_lat	1784084872.565902	1784084877.588419	1
094	dram_bw	1784084877.588480	1784084882.606526	1
095	fe	1784084882.606587	1784084887.626776	1
096	fe_lat	1784084887.627955	1784084892.649269	1
097	mlp	1784084892.649346	1784084897.668420	1
098	fpbr	1784084897.668490	1784084902.690760	1
099	cache	1784084902.690822	1784084907.710929	1
100	core_ports	1784084907.710992	1784084912.731077	1
101	priv	1784084912.731137	1784084917.749836	1
102	dram_bw	1784084917.749895	1784084922.767941	1
103	fe	1784084922.768002	1784084927.789476	1
104	core_ports	1784084927.790503	1784084932.810470	1
105	priv	1784084932.810531	1784084937.829310	1
106	fe_lat	1784084937.829374	1784084942.849375	1
107	mlp	1784084942.849437	1784084947.869092	1
108	fpbr	1784084947.869173	1784084952.890262	1
109	cache	1784084952.890323	1784084957.920388	1
110	dram_bw	1784084957.920457	1784084962.939442	1
111	fe	1784084962.939503	1784084967.959498	1
112	fpbr	1784084967.961144	1784084972.980135	1
113	cache	1784084972.980196	1784084978.005230	1
114	fe	1784084978.005297	1784084983.029056	1
115	dram_bw	1784084983.029119	1784084988.047728	1
116	mlp	1784084988.047790	1784084993.071673	1
117	fe_lat	1784084993.071759	1784084998.095698	0
