ts_ns	event	pid	ppid	comm	class	action
63808684026964	clockref	0	0	realtime=1784120975153355643	-	-
1784120975161388168	seed	4157929	4157904	tail	agent	seeded
1784120975161877225	seed	4158244	4157904	openclaw	agent	seeded
1784120975161968627	seed	4158256	4158244	openclaw	agent	seeded
1784120975162039805	seed	4157929	4157904	tail	agent	seeded
1784120975162079592	seed	4158244	4157904	openclaw	agent	seeded
1784120975162118552	seed	4158256	4158244	openclaw	agent	seeded
63809752046015	exit	4158256	0		agent	none
63809757301176	exit	4158244	0		agent	none
1784120977563611197	resync	4158369	4157904	openclaw	agent	moved:agent
1784120977563955260	resync	4158381	4158369	openclaw	agent	moved:agent
63811200735842	exit	4158381	0		agent	none
63811206401684	exit	4158369	0		agent	none
1784120978947559636	resync	4158419	4157904	openclaw	agent	moved:agent
1784120978948011705	resync	4158431	4158419	openclaw	agent	moved:agent
63812743776281	fork	4158447	4158431	openclaw-gatewa	agent	pending
63812744922934	exec	4158447	0	sh	tool	moved:toolexec
63812745335138	exit	4158447	0		tool	none
63812788861028	fork	4158448	4158431	openclaw-gatewa	agent	pending
63812790044917	exec	4158448	4158431	git	tool	moved:toolexec
63812790740817	exit	4158448	0		tool	none
1784120980146827183	resync	4158470	4157904	openclaw	agent	moved:agent
1784120980147253782	resync	4158482	4158470	openclaw	agent	moved:agent
63814741451130	fork	4158643	4158431	openclaw-gatewa	agent	pending
63814742986847	exec	4158643	0	git	tool	moved:toolexec
63814743647459	exit	4158643	0		tool	none
63814745424356	fork	4158644	4158431		agent	pending
63814746538800	exec	4158644	0		tool	moved:toolexec
63814748184692	exit	4158644	0		tool	none
63826355161906	fork	4160022	4158431	openclaw-gatewa	agent	pending
63826356644544	exec	4160022	0	sh	tool	moved:toolexec
63826357059738	fork	4160023	4160022		tool	moved:toolexec
63826357410707	exec	4160023	0		tool	none
63826357870446	exit	4160023	0		tool	none
63826357978312	fork	4160024	4160022		tool	moved:toolexec
63826358243247	exec	4160024	0		tool	none
63826358509609	exit	4160024	0		tool	none
63826358565449	fork	4160025	4160022		tool	moved:toolexec
63826358722823	exec	4160025	0		tool	none
63826359035669	exit	4160025	0		tool	none
63826359062570	fork	4160026	4160022		tool	moved:toolexec
63826359290574	exec	4160026	0		tool	none
63826359620996	exit	4160026	0		tool	none
63826359703094	exit	4160022	0		tool	none
63826367833126	fork	4160027	4158431	sh	agent	pending
63826369222414	exec	4160027	4158431	sh	tool	moved:toolexec
63826369532586	fork	4160028	4160027		tool	moved:toolexec
63826369746518	exec	4160028	0		tool	none
63826370162267	exit	4160028	0		tool	none
63826370189528	fork	4160029	4160027		tool	moved:toolexec
63826370405235	exec	4160029	0		tool	none
63826371228791	exit	4160029	0		tool	none
63826376130601	fork	4160030	4160027	sh	tool	moved:toolexec
63826376182095	fork	4160031	4160027	sh	tool	moved:toolexec
63826376479439	exec	4160031	4160027	grep	tool	none
63826376561515	exec	4160030	4160027	pip3	tool	none
63826688391202	exit	4160030	0		tool	none
63826688595986	exit	4160031	0		tool	none
63826688722022	exit	4160027	0		tool	none
63826694270498	fork	4160068	4158431	openclaw-gatewa	agent	pending
63826695873961	exec	4160068	0	sh	tool	moved:toolexec
63826696224491	fork	4160069	4160068		tool	moved:toolexec
63826696464130	exec	4160069	0		tool	none
63826696892987	exit	4160069	0		tool	none
63826696951623	fork	4160070	4160068		tool	moved:toolexec
63826697023982	fork	4160071	4160068		tool	moved:toolexec
63826697232288	exec	4160071	0		tool	none
63826697260935	exec	4160070	0		tool	none
63826704591125	exit	4160071	0		tool	none
63826704886111	exit	4160070	0		tool	none
63826704963915	exit	4160068	0		tool	none
63827771073729	fork	4160196	4158431	openclaw-gatewa	agent	pending
63827772644330	exec	4160196	0	sh	tool	moved:toolexec
63827773059351	exit	4160196	0		tool	none
63829653684342	fork	4160428	4158431	openclaw-gatewa	agent	pending
63829655373042	exec	4160428	4158431	sh	tool	moved:toolexec
63829655743194	fork	4160429	4160428	pip3	tool	moved:toolexec
63829655794674	fork	4160430	4160428	tail	tool	moved:toolexec
63829656096218	exec	4160429	4160428	pip3	tool	none
63829656118252	exec	4160430	4160428	tail	tool	none
63829899596581	fork	4160455	4160429		tool	moved:toolexec
63829899812392	exit	4160455	0		tool	none
63829900285108	fork	4160456	4160429		tool	moved:toolexec
63829900461838	exec	4160456	0		tool	none
63829900840127	exit	4160456	0		tool	none
63831201491503	exit	4160429	0		tool	none
63831201699745	exit	4160430	0		tool	none
63831201827007	exit	4160428	0		tool	none
63836350332817	fork	4161221	4158431	openclaw-gatewa	agent	pending
63836351900867	exec	4161221	0	sh	tool	moved:toolexec
63836352254968	fork	4161222	4161221		tool	moved:toolexec
63836352432433	exec	4161222	0		tool	none
63836352974879	exit	4161222	0		tool	none
63836353060954	exit	4161221	0		tool	none
63842775641907	fork	4161980	4158431	openclaw-gatewa	agent	pending
63842777172957	exec	4161980	0	sh	tool	moved:toolexec
63842777583190	exit	4161980	0		tool	none
63844135990183	fork	4162156	4158431	openclaw-gatewa	agent	pending
63844137560417	exec	4162156	4158431	sh	tool	moved:toolexec
63844137913677	fork	4162157	4162156	curl	tool	moved:toolexec
63844138155510	exec	4162157	4162156	curl	tool	none
63844999373619	exit	4162157	0		tool	none
63844999602439	exit	4162156	0		tool	none
63852429254266	fork	4163134	4158431	openclaw-gatewa	agent	pending
63852430835068	exec	4163134	4158431	sh	tool	moved:toolexec
