win	group	t_start	t_end	alive_after
000	dram_bw	1784120980.174886	1784120985.242826	1
001	fe	1784120985.242884	1784120990.268752	1
002	fpbr	1784120990.268811	1784120995.287440	1
003	core_ports	1784120995.287500	1784121000.308043	1
004	fe_lat	1784121000.308100	1784121005.328816	1
005	priv	1784121005.328873	1784121010.347752	1
006	cache	1784121010.347805	1784121015.368197	1
007	mlp	1784121015.368257	1784121020.385563	1
008	cache	1784121020.386596	1784121025.406681	1
009	fe	1784121025.406739	1784121030.429004	1
010	mlp	1784121030.429064	1784121035.449391	1
011	dram_bw	1784121035.449448	1784121040.468362	1
012	core_ports	1784121040.468421	1784121045.491936	1
013	fpbr	1784121045.491996	1784121050.516451	1
014	priv	1784121050.516511	1784121055.540011	1
015	fe_lat	1784121055.540089	1784121060.561416	1
016	fpbr	1784121060.562538	1784121065.583942	1
017	core_ports	1784121065.584019	1784121070.605922	1
018	priv	1784121070.605980	1784121075.625982	1
019	dram_bw	1784121075.626040	1784121080.644260	1
020	mlp	1784121080.644344	1784121085.663275	1
021	fe_lat	1784121085.663345	1784121090.688050	1
022	fe	1784121090.688110	1784121095.718226	1
023	cache	1784121095.718310	1784121100.747759	1
024	cache	1784121100.748777	1784121105.782405	1
025	priv	1784121105.782481	1784121110.804037	1
026	fe_lat	1784121110.804093	1784121115.825006	1
027	mlp	1784121115.825065	1784121120.842392	1
028	fpbr	1784121120.842448	1784121125.865002	1
029	fe	1784121125.865059	1784121130.885338	1
030	core_ports	1784121130.885394	1784121135.907976	1
031	dram_bw	1784121135.908035	1784121140.928874	1
032	priv	1784121140.929897	1784121145.949006	1
033	fe_lat	1784121145.949060	1784121150.969024	1
034	mlp	1784121150.969080	1784121155.986321	1
035	dram_bw	1784121155.986385	1784121161.007475	1
036	fe	1784121161.007530	1784121166.031246	1
037	fpbr	1784121166.031304	1784121171.054083	1
038	core_ports	1784121171.054137	1784121176.076294	1
039	cache	1784121176.076361	1784121181.097918	1
040	cache	1784121181.098932	1784121186.122178	1
041	mlp	1784121186.122237	1784121191.143670	1
042	priv	1784121191.143750	1784121196.162760	1
043	fe	1784121196.162817	1784121201.182737	1
044	fpbr	1784121201.182796	1784121206.202327	1
045	core_ports	1784121206.202397	1784121211.223686	1
046	fe_lat	1784121211.223745	1784121216.244695	1
047	dram_bw	1784121216.244753	1784121221.263060	1
048	priv	1784121221.264126	1784121226.283649	1
049	fe	1784121226.283707	1784121231.303821	1
050	fpbr	1784121231.303878	1784121236.322682	1
051	cache	1784121236.322741	1784121241.343039	1
052	core_ports	1784121241.343098	1784121246.363359	1
053	mlp	1784121246.363423	1784121251.383546	1
054	dram_bw	1784121251.383604	1784121256.402025	1
055	fe_lat	1784121256.402086	1784121261.422866	0
