ts_ns	event	pid	ppid	comm	class	action
66698133537295	clockref	0	0	realtime=1784123864602865727	-	-
1784123864615445199	seed	259255	259232	tail	agent	seeded
1784123864615795769	seed	259566	259232	openclaw	agent	seeded
1784123864615865977	seed	259578	259566	openclaw	agent	seeded
1784123864615914318	seed	259255	259232	tail	agent	seeded
1784123864615939222	seed	259566	259232	openclaw	agent	seeded
1784123864615962198	seed	259578	259566	openclaw	agent	seeded
66699045227596	exit	259578	0		agent	none
66699050315357	exit	259566	0		agent	none
1784123866851663799	resync	259686	259232	openclaw	agent	moved:agent
1784123866851898684	resync	259698	259686	openclaw	agent	moved:agent
66700490789311	exit	259698	0		agent	none
66700495863189	exit	259686	0		agent	none
1784123868235634258	resync	259733	259232	openclaw	agent	moved:agent
1784123868235801495	resync	259745	259733	openclaw	agent	moved:agent
66702029468119	fork	259759	259745	openclaw-gatewa	agent	pending
66702030795245	exec	259759	259745	sh	tool	moved:toolexec
66702031215207	exit	259759	0		tool	none
66702072538172	fork	259760	259745	openclaw-gatewa	agent	pending
66702073801975	exec	259760	0	git	tool	moved:toolexec
66702074497542	exit	259760	0		tool	none
1784123869604693106	resync	259784	259232	openclaw	agent	moved:agent
1784123869604996115	resync	259796	259784	openclaw	agent	moved:agent
66704032879045	fork	259945	259745	openclaw-gatewa	agent	pending
66704034665529	exec	259945	0	git	tool	moved:toolexec
66704035315822	exit	259945	0		tool	none
66704037164504	fork	259946	259745		agent	pending
66704038442266	exec	259946	0		tool	moved:toolexec
66704040084760	exit	259946	0		tool	none
66717056276172	fork	261480	259745	openclaw-gatewa	agent	pending
66717057928340	exec	261480	0	sh	tool	moved:toolexec
66717058346404	exit	261480	0		tool	none
66721252470958	fork	261980	259745	openclaw-gatewa	agent	pending
66721254015461	exec	261980	0	sh	tool	moved:toolexec
66721254425856	fork	261981	261980		tool	moved:toolexec
66721254771884	exec	261981	0		tool	none
66721255248292	exit	261981	0		tool	none
66721255352404	fork	261982	261980		tool	moved:toolexec
66721255679546	exec	261982	0		tool	none
66721255942538	exit	261982	0		tool	none
66721255997691	fork	261983	261980		tool	moved:toolexec
66721256222849	exec	261983	0		tool	none
66721256536949	exit	261983	0		tool	none
66721256572098	fork	261984	261980		tool	moved:toolexec
66721256788404	exec	261984	0		tool	none
66721257124559	exit	261984	0		tool	none
66721257207611	exit	261980	0		tool	none
66721264135819	fork	261985	259745		agent	pending
66721265549577	exec	261985	0		tool	moved:toolexec
66721265862892	fork	261986	261985		tool	moved:toolexec
66721266089578	exec	261986	0		tool	none
66721270170408	exit	261986	0		tool	none
66721270281905	exit	261985	0		tool	none
66721762647790	fork	262047	259745	openclaw-gatewa	agent	pending
66721764410084	exec	262047	0	sh	tool	moved:toolexec
66721764751142	fork	262048	262047		tool	moved:toolexec
66721764972213	exec	262048	0		tool	none
66721765546938	exit	262048	0		tool	none
66721765625503	exit	262047	0		tool	none
66729176638814	fork	262923	259745	openclaw-gatewa	agent	pending
66729178504103	exec	262923	0	sh	tool	moved:toolexec
66729178869310	fork	262924	262923		tool	moved:toolexec
66729178937334	fork	262925	262923		tool	moved:toolexec
66729179190772	exec	262925	0		tool	none
66729179221114	exec	262924	0		tool	none
66729183230417	exit	262924	0		tool	none
66729183296218	exit	262925	0		tool	none
66729183373264	exit	262923	0		tool	none
66732062264934	fork	263262	259745	openclaw-gatewa	agent	pending
66732064077361	exec	263262	0	sh	tool	moved:toolexec
66732064487781	exit	263262	0		tool	none
66734246397657	fork	263530	259745	openclaw-gatewa	agent	pending
66734248287560	exec	263530	259745	sh	tool	moved:toolexec
66734248640062	fork	263531	263530	curl	tool	moved:toolexec
66734248869906	exec	263531	263530	curl	tool	none
66734328470384	exit	263531	0		tool	none
66734328649223	fork	263545	263530		tool	moved:toolexec
66734328811349	exec	263545	0		tool	none
66734329165417	exit	263545	0		tool	none
66734329319726	exit	263530	0		tool	none
66745585339706	fork	264887	259745	openclaw-gatewa	agent	pending
66745587235491	exec	264887	259745	sh	tool	moved:toolexec
66745587591379	fork	264888	264887	curl	tool	moved:toolexec
66745587824741	exec	264888	264887	curl	tool	none
66745718627185	exit	264888	0		tool	none
66745718791502	fork	264906	264887		tool	moved:toolexec
66745718949954	exec	264906	0		tool	none
66745719318169	exit	264906	0		tool	none
66745719417567	exit	264887	0		tool	none
66745722597550	fork	264907	259745	sh	agent	pending
66745724212988	exec	264907	259745	sh	tool	moved:toolexec
66745724519335	fork	264908	264907	curl	tool	moved:toolexec
66745724644073	exec	264908	264907	curl	tool	none
66745817127631	exit	264908	0		tool	none
66745817307400	fork	264922	264907		tool	moved:toolexec
66745817473608	exec	264922	0		tool	none
66745817801520	exit	264922	0		tool	none
66745817897497	exit	264907	0		tool	none
66747068445777	fork	265067	259745	openclaw-gatewa	agent	pending
66747070289594	exec	265067	0	sh	tool	moved:toolexec
66747070700435	exit	265067	0		tool	none
66750387327040	fork	265467	259745	openclaw-gatewa	agent	pending
66750389145455	exec	265467	0	sh	tool	moved:toolexec
66750389494891	fork	265468	265467		tool	moved:toolexec
66750389731889	exec	265468	0		tool	none
66750390104721	exit	265468	0		tool	none
66750390184008	exit	265467	0		tool	none
66750396211656	fork	265469	259745	openclaw-gatewa	agent	pending
66750397599585	exec	265469	259745	sh	tool	moved:toolexec
66750397927415	fork	265470	265469	sh	tool	moved:toolexec
66750398167926	exec	265470	265469	cat	tool	none
66750398520619	exit	265470	0		tool	none
66750398602388	exit	265469	0		tool	none
66762033903757	fork	266837	259745	openclaw-gatewa	agent	pending
66762035765881	exec	266837	259745	sh	tool	moved:toolexec
66762036126014	fork	266838	266837	curl	tool	moved:toolexec
66762036367957	exec	266838	266837	curl	tool	none
66762073445230	fork	266852	259745	openclaw-gatewa	agent	pending
66762074988893	exec	266852	0	sh	tool	moved:toolexec
66762075380687	exit	266852	0		tool	none
66762798586264	exit	266838	0		tool	none
66762798771174	fork	266937	266837		tool	moved:toolexec
66762798944933	exec	266937	0		tool	none
66762799329564	exit	266937	0		tool	none
66762799434514	exit	266837	0		tool	none
66770901039037	fork	267896	259745	openclaw-gatewa	agent	pending
66770902924619	exec	267896	0	sh	tool	moved:toolexec
66770903306320	fork	267897	267896		tool	moved:toolexec
66770903361465	fork	267898	267896		tool	moved:toolexec
66770903623468	exec	267897	0		tool	none
66770903671649	exec	267898	0		tool	none
66770908432871	exit	267898	0		tool	none
66770908438633	exit	267897	0		tool	none
66770908532997	exit	267896	0		tool	none
66777078152862	fork	268630	259745	openclaw-gatewa	agent	pending
66777079990072	exec	268630	0	sh	tool	moved:toolexec
66777080406615	exit	268630	0		tool	none
66785435839987	fork	269619	259745	openclaw-gatewa	agent	pending
66785437743918	exec	269619	0	sh	tool	moved:toolexec
66785438126496	fork	269620	269619		tool	moved:toolexec
66785438179219	fork	269621	269619		tool	moved:toolexec
66785438348880	exec	269620	0		tool	none
66785438487449	exec	269621	0		tool	none
66785443693473	exit	269620	0		tool	none
66785443694886	exit	269621	0		tool	none
66785443793417	exit	269619	0		tool	none
66792083858936	fork	270405	259745	openclaw-gatewa	agent	pending
66792085698688	exec	270405	0	sh	tool	moved:toolexec
66792086107462	exit	270405	0		tool	none
66798634497115	fork	271181	259745	openclaw-gatewa	agent	pending
66798636428786	exec	271181	259745	sh	tool	moved:toolexec
66798636791991	fork	271182	271181	python3	tool	moved:toolexec
66798637032467	exec	271182	271181	python3	tool	none
66799402087883	exit	271182	0		tool	none
66799402323373	exit	271181	0		tool	none
66807088509723	fork	272187	259745	openclaw-gatewa	agent	pending
66807090374881	exec	272187	0	sh	tool	moved:toolexec
66807090786191	exit	272187	0		tool	none
66809388454077	fork	272466	259745	openclaw-gatewa	agent	pending
66809390288219	exec	272466	259745	sh	tool	moved:toolexec
66809390649057	fork	272469	272466	python3	tool	moved:toolexec
66809390884331	exec	272469	272466	python3	tool	none
66809420484816	exit	272469	0		tool	none
66809420780788	exit	272466	0		tool	none
66817986589571	fork	273485	259745	openclaw-gatewa	agent	pending
66817988444021	exec	273485	259745	sh	tool	moved:toolexec
66817988819032	fork	273486	273485		tool	moved:toolexec
66817989050652	exec	273486	0		tool	none
66818004997274	exit	273486	0		tool	none
66818005215807	exit	273485	0		tool	none
66822094148802	fork	273970	259745	openclaw-gatewa	agent	pending
66822095931858	exec	273970	0	sh	tool	moved:toolexec
66822096350376	exit	273970	0		tool	none
66837099484521	fork	275744	259745	openclaw-gatewa	agent	pending
66837101303852	exec	275744	0	sh	tool	moved:toolexec
66837101711306	exit	275744	0		tool	none
66852105118547	fork	277542	259745	openclaw-gatewa	agent	pending
66852106964814	exec	277542	0	sh	tool	moved:toolexec
66852107395621	exit	277542	0		tool	none
66867110250520	fork	279411	259745	openclaw-gatewa	agent	pending
66867112129047	exec	279411	0	sh	tool	moved:toolexec
66867112536475	exit	279411	0		tool	none
66882115680454	fork	281256	259745	openclaw-gatewa	agent	pending
66882117533569	exec	281256	0	sh	tool	moved:toolexec
66882117937727	exit	281256	0		tool	none
66897120896603	fork	283056	259745	openclaw-gatewa	agent	pending
66897122713232	exec	283056	0	sh	tool	moved:toolexec
66897123129334	exit	283056	0		tool	none
66912126334860	fork	284842	259745	openclaw-gatewa	agent	pending
66912128171145	exec	284842	0	sh	tool	moved:toolexec
66912128586189	exit	284842	0		tool	none
66927131808479	fork	286621	259745	openclaw-gatewa	agent	pending
66927133661144	exec	286621	0	sh	tool	moved:toolexec
66927134076100	exit	286621	0		tool	none
66942137181196	fork	288400	259745	openclaw-gatewa	agent	pending
66942139012234	exec	288400	0	sh	tool	moved:toolexec
66942139419291	exit	288400	0		tool	none
66957142355251	fork	290180	259745	openclaw-gatewa	agent	pending
66957144204846	exec	290180	0	sh	tool	moved:toolexec
66957144615866	exit	290180	0		tool	none
66963274353330	fork	290908	259745	openclaw-gatewa	agent	pending
66963276256968	exec	290908	259745	sh	tool	moved:toolexec
66963276621100	fork	290909	290908	python3	tool	moved:toolexec
66963276865403	exec	290909	290908	python3	tool	none
66963293860678	exit	290909	0		tool	none
66963294147414	exit	290908	0		tool	none
66963296775367	fork	290910	259745	openclaw-gatewa	agent	pending
66963298294783	exec	290910	259745	sh	tool	moved:toolexec
66963298625784	fork	290911	290910	sh	tool	moved:toolexec
66963298774295	exec	290911	290910	curl	tool	none
66963640387531	exit	290911	0		tool	none
66963640573498	fork	290949	290910		tool	moved:toolexec
66963640642639	fork	290950	290910		tool	moved:toolexec
66963640823289	exec	290949	0		tool	none
66963640956329	exec	290950	0		tool	none
