win	group	t_start	t_end	alive_after
000	fpbr	1784123869.633289	1784123874.715170	1
001	fe	1784123874.715233	1784123879.738542	1
002	priv	1784123879.738604	1784123884.757262	1
003	fe_lat	1784123884.757321	1784123889.777558	1
004	core_ports	1784123889.777619	1784123894.797979	1
005	cache	1784123894.798035	1784123899.820081	1
006	dram_bw	1784123899.820139	1784123904.839056	1
007	mlp	1784123904.839115	1784123909.856354	1
008	cache	1784123909.857387	1784123914.884273	1
009	core_ports	1784123914.884340	1784123919.913359	1
010	fe	1784123919.913423	1784123924.939658	1
011	dram_bw	1784123924.939736	1784123929.959198	1
012	mlp	1784123929.959275	1784123934.979642	1
013	fe_lat	1784123934.979700	1784123940.000351	1
014	fpbr	1784123940.000412	1784123945.021750	1
015	priv	1784123945.021808	1784123950.048083	1
016	dram_bw	1784123950.049250	1784123955.068001	1
017	cache	1784123955.068060	1784123960.093094	1
018	mlp	1784123960.093169	1784123965.122252	1
019	priv	1784123965.122341	1784123970.146072	1
020	fe_lat	1784123970.146144	1784123975.171116	1
021	fpbr	1784123975.171177	1784123980.204507	1
022	core_ports	1784123980.204582	1784123985.224881	1
023	fe	1784123985.224958	1784123990.245576	1
024	priv	1784123990.246717	1784123995.265755	1
025	cache	1784123995.265836	1784124000.288022	1
026	core_ports	1784124000.288102	1784124005.312288	1
027	fe	1784124005.312436	1784124010.332970	1
028	mlp	1784124010.333034	1784124015.350322	1
029	fpbr	1784124015.350397	1784124020.371246	1
030	fe_lat	1784124020.371326	1784124025.396483	1
031	dram_bw	1784124025.396570	1784124030.416171	1
032	fe	1784124030.417287	1784124035.438009	1
033	core_ports	1784124035.438091	1784124040.461348	1
034	priv	1784124040.461427	1784124045.484084	1
035	fpbr	1784124045.484162	1784124050.510017	1
036	fe_lat	1784124050.510100	1784124055.530775	1
037	dram_bw	1784124055.530859	1784124060.549293	1
038	cache	1784124060.549382	1784124065.572095	1
039	mlp	1784124065.572180	1784124070.591086	1
040	priv	1784124070.592279	1784124075.611460	1
041	dram_bw	1784124075.611543	1784124080.630599	1
042	cache	1784124080.630677	1784124085.651386	1
043	fe	1784124085.651474	1784124090.672417	1
044	fe_lat	1784124090.672475	1784124095.694199	1
045	core_ports	1784124095.694255	1784124100.717104	1
046	mlp	1784124100.717164	1784124105.734541	1
047	fpbr	1784124105.734602	1784124110.753651	1
048	dram_bw	1784124110.754705	1784124115.772969	1
049	cache	1784124115.773029	1784124120.793375	1
050	fpbr	1784124120.793436	1784124125.813005	1
051	fe_lat	1784124125.813061	1784124130.835216	1
052	mlp	1784124130.835276	1784124135.859092	1
053	core_ports	1784124135.859154	1784124140.880984	1
054	fe	1784124140.881040	1784124145.901294	1
055	priv	1784124145.901362	1784124150.921116	1
056	dram_bw	1784124150.922148	1784124155.940877	1
057	fpbr	1784124155.940937	1784124160.959886	1
058	core_ports	1784124160.959947	1784124165.983384	1
059	fe_lat	1784124165.983445	1784124171.003713	1
060	priv	1784124171.003776	1784124176.023422	1
061	mlp	1784124176.023481	1784124181.045158	1
062	cache	1784124181.045221	1784124186.067383	1
063	fe	1784124186.067444	1784124191.087637	1
064	mlp	1784124191.088668	1784124196.105955	1
065	fpbr	1784124196.106014	1784124201.125440	1
066	dram_bw	1784124201.125499	1784124206.144463	1
067	priv	1784124206.144520	1784124211.163273	1
068	core_ports	1784124211.163337	1784124216.187858	1
069	cache	1784124216.187918	1784124221.208171	1
070	fe	1784124221.208228	1784124226.231547	1
071	fe_lat	1784124226.231604	1784124231.252725	1
072	fe_lat	1784124231.253761	1784124236.274854	1
073	dram_bw	1784124236.274914	1784124241.293546	1
074	core_ports	1784124241.293608	1784124246.315171	1
075	mlp	1784124246.315233	1784124251.332840	1
076	priv	1784124251.332900	1784124256.356394	1
077	fpbr	1784124256.356454	1784124261.377645	1
078	cache	1784124261.377702	1784124266.398207	1
079	fe	1784124266.398265	1784124271.418429	1
080	core_ports	1784124271.419450	1784124276.439782	1
081	cache	1784124276.439836	1784124281.467347	1
082	fpbr	1784124281.467428	1784124286.494286	1
083	priv	1784124286.494377	1784124291.522297	1
084	dram_bw	1784124291.522366	1784124296.552372	1
085	mlp	1784124296.552438	1784124301.573005	1
086	fe	1784124301.573081	1784124306.593488	1
087	fe_lat	1784124306.593564	1784124311.616389	1
088	dram_bw	1784124311.617482	1784124316.635882	1
089	mlp	1784124316.635943	1784124321.653211	1
090	fe	1784124321.653268	1784124326.673545	1
091	core_ports	1784124326.674041	1784124331.695436	1
092	fpbr	1784124331.695948	1784124336.717726	1
093	priv	1784124336.718225	1784124341.742020	1
094	cache	1784124341.742089	1784124346.762410	1
095	fe_lat	1784124346.762469	1784124351.783077	1
096	dram_bw	1784124351.784135	1784124356.806594	1
097	core_ports	1784124356.806670	1784124361.832859	1
098	cache	1784124361.832944	1784124366.860164	1
099	fe_lat	1784124366.860246	1784124371.887502	1
100	fpbr	1784124371.887586	1784124376.908089	1
101	mlp	1784124376.908168	1784124381.926605	1
102	fe	1784124381.926686	1784124386.948887	1
103	priv	1784124386.948968	1784124391.969033	1
104	fe_lat	1784124391.970255	1784124396.990729	1
105	cache	1784124396.990804	1784124402.012845	1
106	mlp	1784124402.012923	1784124407.035336	1
107	fe	1784124407.035413	1784124412.056043	1
108	dram_bw	1784124412.056121	1784124417.077393	1
109	priv	1784124417.077455	1784124422.097609	1
110	fpbr	1784124422.097690	1784124427.118017	1
111	core_ports	1784124427.118095	1784124432.139637	1
112	priv	1784124432.140733	1784124437.159916	1
113	fpbr	1784124437.159992	1784124442.179230	1
114	fe	1784124442.179309	1784124447.200013	1
115	mlp	1784124447.200087	1784124452.217944	1
116	dram_bw	1784124452.218022	1784124457.236747	1
117	core_ports	1784124457.236826	1784124462.258145	1
118	cache	1784124462.258207	1784124467.289199	1
119	fe_lat	1784124467.289259	1784124472.314424	1
120	cache	1784124472.315537	1784124477.337370	1
121	fe	1784124477.337450	1784124482.358833	1
122	priv	1784124482.358907	1784124487.378007	1
123	fe_lat	1784124487.378084	1784124492.399640	1
124	core_ports	1784124492.399717	1784124497.420292	1
125	dram_bw	1784124497.420406	1784124502.439213	1
126	fpbr	1784124502.439291	1784124507.459622	1
