win	group	t_start	t_end	alive_after
000	core_ports	1784068873.430999	1784068883.469952	1
001	cache	1784068883.472536	1784068893.494015	1
002	dram_bw	1784068893.496392	1784068903.515864	1
003	fpbr	1784068903.518282	1784068913.538247	1
004	fe_lat	1784068913.540696	1784068923.561873	1
005	priv	1784068923.564311	1784068933.583805	1
006	mlp	1784068933.586361	1784068943.606541	1
007	fe	1784068943.609183	1784068953.631660	1
008	mlp	1784068953.637654	1784068963.657937	1
009	core_ports	1784068963.660436	1784068973.683282	1
010	fe_lat	1784068973.685928	1784068983.708196	1
011	priv	1784068983.710724	1784068993.730569	1
012	dram_bw	1784068993.733493	1784069003.756946	1
013	fe	1784069003.759623	1784069013.792074	0
