win	group	t_start	t_end	alive_after
000	dram_bw	1784066818.148310	1784066823.215450	1
001	mlp	1784066823.236340	1784066828.256911	1
002	core_ports	1784066828.259320	1784066833.283999	1
003	cache	1784066833.286456	1784066838.309384	1
004	fpbr	1784066838.311813	1784066843.349440	1
005	fe	1784066843.356687	1784066848.394101	1
006	fe_lat	1784066848.396655	1784066853.419879	1
007	priv	1784066853.422454	1784066858.443577	1
008	fe_lat	1784066858.449344	1784066863.472612	1
009	core_ports	1784066863.475169	1784066868.497861	1
010	fpbr	1784066868.500335	1784066873.522202	1
011	cache	1784066873.525476	1784066878.548257	1
012	dram_bw	1784066878.550808	1784066883.571673	1
013	mlp	1784066883.574195	1784066888.594053	1
014	priv	1784066888.596549	1784066893.619319	1
015	fe	1784066893.621958	1784066898.644751	1
016	dram_bw	1784066898.650600	1784066903.672208	1
017	fpbr	1784066903.675047	1784066908.696868	1
018	mlp	1784066908.699419	1784066913.719502	1
019	fe	1784066913.721860	1784066918.745126	1
020	core_ports	1784066918.747656	1784066923.770732	1
021	priv	1784066923.773213	1784066928.795376	1
022	fe_lat	1784066928.797904	1784066933.821018	1
023	cache	1784066933.823608	1784066938.847012	1
024	cache	1784066938.852749	1784066943.875800	1
025	mlp	1784066943.878273	1784066948.898054	1
026	priv	1784066948.900546	1784066953.921994	1
027	dram_bw	1784066953.924498	1784066958.946168	1
028	core_ports	1784066958.948591	1784066963.971294	1
029	fe	1784066963.973803	1784066968.996689	1
030	fe_lat	1784066968.999107	1784066974.022112	1
031	fpbr	1784066974.024557	1784066979.054262	1
032	cache	1784066979.062481	1784066984.089137	1
033	priv	1784066984.091791	1784066989.113264	1
034	core_ports	1784066989.115886	1784066994.138658	1
035	fe	1784066994.141318	1784066999.164005	1
036	fe_lat	1784066999.166542	1784067004.190672	1
037	fpbr	1784067004.200576	1784067009.222807	1
038	dram_bw	1784067009.225401	1784067014.246297	1
039	mlp	1784067014.248685	1784067019.268723	1
040	priv	1784067019.274630	1784067024.296488	1
041	fe_lat	1784067024.299021	1784067029.322437	1
042	fpbr	1784067029.325246	1784067034.347143	1
043	core_ports	1784067034.349626	1784067039.373168	1
044	cache	1784067039.375763	1784067044.399741	1
045	dram_bw	1784067044.402354	1784067049.424062	1
046	mlp	1784067049.426460	1784067054.455389	1
047	fe	1784067054.458006	1784067059.481343	1
048	priv	1784067059.487869	1784067064.509830	1
049	fe	1784067064.512363	1784067069.541368	1
050	dram_bw	1784067069.544054	1784067074.565487	1
051	core_ports	1784067074.568081	1784067079.591683	1
052	cache	1784067079.594260	1784067084.618483	1
053	fe_lat	1784067084.621453	1784067089.647486	1
054	mlp	1784067089.650294	1784067094.672487	1
055	fpbr	1784067094.675427	1784067099.699100	1
056	fpbr	1784067099.705562	1784067104.729152	1
057	fe_lat	1784067104.732117	1784067109.758146	1
058	priv	1784067109.760882	1784067114.785353	1
059	cache	1784067114.788133	1784067119.813750	1
060	dram_bw	1784067119.816436	1784067124.839032	1
061	core_ports	1784067124.841535	1784067129.866515	1
062	mlp	1784067129.869324	1784067134.891377	1
063	fe	1784067134.894138	1784067139.920017	1
064	core_ports	1784067139.926055	1784067144.949667	1
065	fe	1784067144.952314	1784067149.975525	1
066	fpbr	1784067149.978110	1784067154.999678	1
067	dram_bw	1784067155.002275	1784067160.024072	1
068	mlp	1784067160.026636	1784067165.048372	1
069	cache	1784067165.051048	1784067170.075568	1
070	priv	1784067170.078182	1784067175.101274	1
071	fe_lat	1784067175.103914	1784067180.128239	1
072	fe_lat	1784067180.134733	1784067185.159691	1
073	fpbr	1784067185.162354	1784067190.185559	1
074	priv	1784067190.188191	1784067195.210463	1
075	cache	1784067195.213049	1784067200.236150	1
076	mlp	1784067200.238592	1784067205.259379	1
077	core_ports	1784067205.262005	1784067210.287222	1
078	dram_bw	1784067210.289953	1784067215.312925	1
079	fe	1784067215.315451	1784067220.339230	1
080	core_ports	1784067220.345412	1784067225.369498	1
081	fe_lat	1784067225.371996	1784067230.396693	1
082	cache	1784067230.399553	1784067235.425141	1
083	mlp	1784067235.427849	1784067240.449297	1
084	priv	1784067240.451952	1784067245.475529	1
085	fpbr	1784067245.478299	1784067250.501844	1
086	dram_bw	1784067250.504465	1784067255.526883	0
