win	group	t_start	t_end	alive_after
000	mlp	1784080224.484906	1784080229.525693	1
001	priv	1784080229.528303	1784080234.549830	1
002	fpbr	1784080234.552358	1784080239.573932	1
003	fe_lat	1784080239.576406	1784080244.600209	1
004	fe	1784080244.602704	1784080249.627103	1
005	core_ports	1784080249.629586	1784080254.663639	1
006	dram_bw	1784080254.666359	1784080259.689265	1
007	cache	1784080259.692176	1784080264.715071	1
008	fpbr	1784080264.721311	1784080269.743011	1
009	fe	1784080269.745630	1784080274.768778	1
010	mlp	1784080274.771214	1784080279.791388	1
011	core_ports	1784080279.793799	1784080284.817191	1
012	dram_bw	1784080284.819810	1784080289.840884	1
013	priv	1784080289.843457	1784080294.865308	1
014	cache	1784080294.867882	1784080299.891295	1
015	fe_lat	1784080299.893908	1784080304.916585	1
016	cache	1784080304.922920	1784080309.947358	1
017	fe	1784080309.949864	1784080314.973845	1
018	fe_lat	1784080314.976475	1784080319.999474	1
019	mlp	1784080320.001904	1784080325.021991	1
020	priv	1784080325.024389	1784080330.046382	1
021	dram_bw	1784080330.048954	1784080335.070859	1
022	core_ports	1784080335.073422	1784080340.096220	1
023	fpbr	1784080340.098677	1784080345.120151	1
024	priv	1784080345.125764	1784080350.147780	1
025	fpbr	1784080350.150241	1784080355.172204	1
026	dram_bw	1784080355.174808	1784080360.195963	1
027	fe_lat	1784080360.198494	1784080365.221751	1
028	mlp	1784080365.224308	1784080370.244990	1
029	fe	1784080370.247548	1784080375.271547	1
030	cache	1784080375.274219	1784080380.297230	1
031	core_ports	1784080380.299673	1784080385.322826	1
032	fpbr	1784080385.328687	1784080390.350984	1
033	fe_lat	1784080390.353600	1784080395.376436	1
034	dram_bw	1784080395.378910	1784080400.400147	1
035	cache	1784080400.402652	1784080405.425867	1
036	fe	1784080405.428372	1784080410.453093	1
037	priv	1784080410.455792	1784080415.477251	1
038	core_ports	1784080415.479686	1784080420.503003	1
039	mlp	1784080420.505525	1784080425.525614	1
040	priv	1784080425.531529	1784080430.552883	1
041	dram_bw	1784080430.555467	1784080435.576101	1
042	fe_lat	1784080435.578597	1784080440.601939	1
043	mlp	1784080440.604669	1784080445.625316	1
044	core_ports	1784080445.627900	1784080450.650909	1
045	fpbr	1784080450.653470	1784080455.675108	1
046	fe	1784080455.677578	1784080460.702055	1
047	cache	1784080460.704770	1784080465.727787	1
048	mlp	1784080465.733720	1784080470.756196	1
049	fpbr	1784080470.758594	1784080475.781050	1
050	fe_lat	1784080475.783709	1784080480.807210	1
051	fe	1784080480.809789	1784080485.832671	1
052	dram_bw	1784080485.835217	1784080490.856141	1
053	priv	1784080490.858728	1784080495.880887	1
054	core_ports	1784080495.883452	1784080500.907464	1
055	cache	1784080500.910090	1784080505.935271	1
056	fe_lat	1784080505.941288	1784080510.964824	1
057	priv	1784080510.967579	1784080515.989406	1
058	core_ports	1784080515.991902	1784080521.014965	1
059	fpbr	1784080521.017512	1784080526.039187	1
060	fe	1784080526.041785	1784080531.065202	1
061	mlp	1784080531.068063	1784080536.089162	1
062	cache	1784080536.092138	1784080541.115400	1
063	dram_bw	1784080541.118347	1784080546.140159	1
064	core_ports	1784080546.145887	1784080551.168662	1
065	fpbr	1784080551.171214	1784080556.192867	1
066	priv	1784080556.195424	1784080561.217403	1
067	fe_lat	1784080561.219927	1784080566.243638	1
068	cache	1784080566.246277	1784080571.269075	1
069	dram_bw	1784080571.271622	1784080576.292322	1
070	mlp	1784080576.294756	1784080581.314793	1
071	fe	1784080581.317310	1784080586.340342	1
072	fe	1784080586.346122	1784080591.369691	1
073	fe_lat	1784080591.372171	1784080596.397532	1
074	dram_bw	1784080596.400069	1784080601.420933	1
075	mlp	1784080601.423451	1784080606.443409	1
076	fpbr	1784080606.445812	1784080611.467465	1
077	core_ports	1784080611.469918	1784080616.492899	1
078	cache	1784080616.495567	1784080621.520079	1
079	priv	1784080621.522754	1784080626.543962	1
080	fe_lat	1784080626.549746	1784080631.572680	1
081	mlp	1784080631.575140	1784080636.595398	1
082	fpbr	1784080636.597869	1784080641.619534	1
083	core_ports	1784080641.622102	1784080646.644823	1
084	cache	1784080646.647373	1784080651.672398	1
085	fe	1784080651.675021	1784080656.698264	1
086	dram_bw	1784080656.700853	1784080661.721744	1
087	priv	1784080661.724187	1784080666.746792	1
088	priv	1784080666.753289	1784080671.776868	1
089	dram_bw	1784080671.779639	1784080676.802829	1
090	fpbr	1784080676.805749	1784080681.829478	1
091	fe	1784080681.832222	1784080686.856338	1
092	core_ports	1784080686.859729	1784080691.882936	1
093	fe_lat	1784080691.885735	1784080696.908872	1
094	mlp	1784080696.911534	1784080701.931610	1
095	cache	1784080701.934197	1784080706.957009	1
096	fpbr	1784080706.962898	1784080711.984410	1
097	dram_bw	1784080711.986930	1784080717.009174	1
098	fe_lat	1784080717.011738	1784080722.034798	1
099	mlp	1784080722.037234	1784080727.057641	1
100	priv	1784080727.060224	1784080732.082470	1
101	core_ports	1784080732.084923	1784080737.108111	1
102	cache	1784080737.110731	1784080742.134627	1
103	fe	1784080742.137148	1784080747.161217	1
104	fe	1784080747.167131	1784080752.190644	1
105	fpbr	1784080752.193342	1784080757.215356	1
106	priv	1784080757.218263	1784080762.240357	1
107	mlp	1784080762.243212	1784080767.266274	1
108	cache	1784080767.269082	1784080772.293683	1
109	core_ports	1784080772.296375	1784080777.319839	1
110	dram_bw	1784080777.322298	1784080782.343771	1
111	fe_lat	1784080782.346280	1784080787.369431	1
112	priv	1784080787.375673	1784080792.397106	1
113	core_ports	1784080792.399735	1784080797.422796	1
114	fpbr	1784080797.425305	1784080802.447375	1
115	mlp	1784080802.467548	1784080807.488475	1
116	fe	1784080807.491048	1784080812.514583	1
117	cache	1784080812.517030	1784080817.539805	1
118	fe_lat	1784080817.542403	1784080822.565304	1
119	dram_bw	1784080822.567917	1784080827.588993	1
120	core_ports	1784080827.594813	1784080832.617900	1
121	fe_lat	1784080832.620365	1784080837.643926	1
122	dram_bw	1784080837.646644	1784080842.668600	1
123	priv	1784080842.671149	1784080847.692832	1
