win	group	t_start	t_end	alive_after
000	mlp	1784067430.359794	1784067435.396711	1
001	fe	1784067435.399568	1784067440.423561	1
002	priv	1784067440.425999	1784067445.447392	1
003	cache	1784067445.449807	1784067450.474790	1
004	core_ports	1784067450.477594	1784067455.503084	1
005	fe_lat	1784067455.505783	1784067460.529973	1
006	dram_bw	1784067460.532580	1784067465.554108	1
007	fpbr	1784067465.556514	1784067470.578144	1
008	fpbr	1784067470.583712	1784067475.606133	1
009	dram_bw	1784067475.608772	1784067480.631133	1
010	mlp	1784067480.633811	1784067485.655902	1
011	core_ports	1784067485.658662	1784067490.683629	1
012	fe_lat	1784067490.686043	1784067495.709840	1
013	priv	1784067495.712252	1784067500.733589	1
014	fe	1784067500.736145	1784067505.759606	1
015	cache	1784067505.762148	1784067510.785705	1
016	cache	1784067510.791490	1784067515.815992	1
017	mlp	1784067515.818891	1784067520.840094	1
018	fpbr	1784067520.842700	1784067525.865757	1
019	fe_lat	1784067525.868237	1784067530.891151	1
020	priv	1784067530.893685	1784067535.916212	1
021	dram_bw	1784067535.919005	1784067540.941292	1
022	core_ports	1784067540.944002	1784067545.968910	1
023	fe	1784067545.972139	1784067550.996490	1
024	dram_bw	1784067551.002499	1784067556.025241	1
025	priv	1784067556.028441	1784067561.050639	1
026	cache	1784067561.053293	1784067566.076909	1
027	mlp	1784067566.079425	1784067571.099699	1
028	core_ports	1784067571.102208	1784067576.125833	1
029	fe_lat	1784067576.128432	1784067581.152156	1
030	fpbr	1784067581.154861	1784067586.177425	1
031	fe	1784067586.179982	1784067591.202689	1
032	priv	1784067591.208572	1784067596.231413	1
033	core_ports	1784067596.234005	1784067601.256887	1
034	fpbr	1784067601.259453	1784067606.282081	1
035	fe	1784067606.284765	1784067611.309459	1
036	cache	1784067611.312186	1784067616.336929	1
037	mlp	1784067616.339487	1784067621.360460	1
038	fe_lat	1784067621.362989	1784067626.385788	1
039	dram_bw	1784067626.388192	1784067631.409245	1
040	cache	1784067631.415668	1784067636.438566	1
041	mlp	1784067636.441017	1784067641.462182	1
042	fe	1784067641.465125	1784067646.490209	1
043	dram_bw	1784067646.492893	1784067651.515237	1
044	fpbr	1784067651.517712	1784067656.539718	1
045	fe_lat	1784067656.542119	1784067661.564871	1
046	core_ports	1784067661.567247	1784067666.590127	1
