win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783593042.744860	1783593052.845241	1	3418922
001	core	1783593052.958379	1783593062.987341	1	3422166
002	cache	1783593063.194556	1783593073.228121	1	3425726
003	fp1	1783593074.198986	1783593084.230932	1	3429196
004	fp2	1783593084.358444	1783593094.390301	1	3432643
005	mlp	1783593094.517020	1783593104.549169	1	3435802
006	fe	1783593104.666379	1783593114.701325	1	3439149
007	icache	1783593114.824172	1783593124.853373	0	3441525
008	priv	1783593125.194890	1783593135.229010	0	3444838
009	tma	1783593135.341095	1783593145.379322	0	3447963
010	core	1783593145.514602	1783593155.545325	1	3451762
011	cache	1783593155.737052	1783593165.769854	1	3454833
012	fp1	1783593165.890103	1783593175.923503	1	3458109
013	fp2	1783593176.071144	1783593186.103452	1	3461600
014	mlp	1783593186.312679	1783593196.342722	1	3465103
015	fe	1783593196.462668	1783593206.495586	1	3468762
016	icache	1783593206.613471	1783593216.643070	1	3471904
017	priv	1783593216.758364	1783593226.791874	0	3473874
018	tma	1783593227.139247	1783593237.177850	1	3479095
019	core	1783593238.200685	1783593248.227917	0	3480836
020	cache	1783593248.456434	1783593258.488278	1	3484968
021	fp1	1783593258.612363	1783593268.644321	1	3488505
022	fp2	1783593269.195384	1783593279.247055	1	3491649
023	mlp	1783593279.454609	1783593289.486194	1	3495003
024	fe	1783593289.751149	1783593299.783497	1	3498383
025	icache	1783593300.195813	1783593310.226173	1	3501781
026	priv	1783593310.353264	1783593320.386106	1	3504919
