win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783588896.625219	1783588906.776269	1	1646656
001	core	1783588907.196889	1783588917.226270	0	1651619
002	cache	1783588917.352060	1783588927.384634	1	1658017
003	fp1	1783588927.521422	1783588937.556395	0	1663343
004	fp2	1783588937.684881	1783588947.719754	1	1669750
005	mlp	1783588947.841469	1783588957.873389	0	1675317
006	fe	1783588957.987159	1783588968.021147	0	1682575
007	icache	1783588968.204309	1783588978.236368	1	1687423
008	priv	1783588978.352214	1783588988.386944	1	1693759
009	tma	1783588988.498168	1783588998.536741	0	1699436
010	core	1783588999.199328	1783589009.226506	1	1706122
011	cache	1783589009.521469	1783589019.556728	1	1711932
012	fp1	1783589020.506609	1783589030.541579	0	1717346
013	fp2	1783589031.196570	1783589041.228689	1	1723155
014	mlp	1783589041.352712	1783589051.383589	0	1728959
015	fe	1783589051.546942	1783589061.578585	1	1736333
016	icache	1783589062.198789	1783589072.228624	0	1741491
017	priv	1783589072.357825	1783589082.392548	1	1748085
018	tma	1783589082.517420	1783589092.553009	1	1753428
019	core	1783589092.667619	1783589102.695308	0	1759161
020	cache	1783589103.202628	1783589113.245860	1	1765463
021	fp1	1783589113.360939	1783589123.398372	1	1771765
022	fp2	1783589124.139214	1783589134.175819	1	1777943
023	mlp	1783589134.353988	1783589144.383515	1	1783559
024	fe	1783589144.495734	1783589154.534671	1	1789645
025	icache	1783589155.195912	1783589165.225428	1	1795372
026	priv	1783589165.344248	1783589175.380368	1	1801646
