win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783586816.577274	1783586826.693020	0	1014125
001	core	1783586826.810797	1783586836.839658	0	1016514
002	cache	1783586836.953801	1783586846.986138	1	1020444
003	fp1	1783586847.101993	1783586857.135021	1	1023133
004	fp2	1783586857.251017	1783586867.285695	1	1025504
005	mlp	1783586867.417418	1783586877.446988	1	1027821
006	fe	1783586877.563826	1783586887.602996	1	1030450
007	icache	1783586887.718672	1783586897.750335	1	1032721
008	priv	1783586897.881040	1783586907.914738	1	1035483
009	tma	1783586908.056194	1783586918.093216	1	1038242
010	core	1783586919.198236	1783586929.227481	0	1040791
011	cache	1783586930.199635	1783586940.233248	1	1043464
012	fp1	1783586940.359782	1783586950.393310	1	1045992
013	fp2	1783586950.516993	1783586960.549825	1	1048982
014	mlp	1783586960.667430	1783586970.698875	1	1051254
015	fe	1783586971.194337	1783586981.235063	1	1054023
016	icache	1783586981.362097	1783586991.393506	1	1056816
017	priv	1783586991.515088	1783587001.550229	1	1059468
018	tma	1783587003.139233	1783587013.174395	1	1062350
019	core	1783587014.196670	1783587024.224463	1	1065085
020	cache	1783587024.429648	1783587034.462968	1	1067471
021	fp1	1783587034.586884	1783587044.618466	1	1069902
022	fp2	1783587044.736715	1783587054.768918	1	1073053
023	mlp	1783587055.197106	1783587065.226734	1	1075487
024	fe	1783587065.338710	1783587075.371669	1	1078085
025	icache	1783587075.487668	1783587085.517805	1	1081585
026	priv	1783587085.632043	1783587095.665355	1	1084159
