win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783596164.137090	1783596174.319047	0	4809665
001	core	1783596174.451135	1783596184.482369	1	4813491
002	cache	1783596184.601980	1783596194.636146	1	4817593
003	fp1	1783596195.486396	1783596205.520116	1	4821623
004	fp2	1783596205.699221	1783596215.737848	1	4825634
005	mlp	1783596215.959252	1783596225.992382	1	4829320
006	fe	1783596226.213723	1783596236.247880	1	4833191
007	icache	1783596236.371490	1783596246.405761	0	4835868
008	priv	1783596246.523725	1783596256.556692	0	4839710
009	tma	1783596256.780897	1783596266.817241	1	4843376
010	core	1783596266.941929	1783596276.970952	1	4847828
011	cache	1783596277.207354	1783596287.240787	1	4851455
012	fp1	1783596287.447677	1783596297.487295	1	4855284
013	fp2	1783596297.605708	1783596307.638908	0	4859339
014	mlp	1783596308.140168	1783596318.172198	0	4861664
015	fe	1783596318.885718	1783596328.921256	0	4865619
016	icache	1783596329.210981	1783596339.245367	1	4869656
017	priv	1783596339.405102	1783596349.440242	1	4873578
018	tma	1783596349.581304	1783596359.617737	1	4877943
019	core	1783596360.141647	1783596370.169476	1	4881603
020	cache	1783596370.358005	1783596380.392227	0	4884144
021	fp1	1783596380.616816	1783596390.653703	1	4888552
022	fp2	1783596391.202513	1783596401.238093	1	4892480
023	mlp	1783596401.464722	1783596411.507307	1	4896424
024	fe	1783596411.630676	1783596421.664664	1	4900070
025	icache	1783596421.799052	1783596431.831431	1	4904102
026	priv	1783596432.036606	1783596442.071637	1	4907846
